symbol,minute_rows,hourly_raw,segments,hourly_clean,sessions,per_session,start,end,splits,max_abs_ret
NIFTY,1382407,22309,2,19537,3261,5.99,2009-12-21,2023-02-28,0,0.09457524202325718
BANKNIFTY,1210733,19263,1,19251,3213,5.99,2010-03-02,2023-02-28,0,0.1239339045529565
RELIANCE,608919,9506,6,9122,1521,6.0,2017-01-02,2023-02-28,1,0.14702765709441556
HDFCBANK,603865,9499,6,9127,1522,6.0,2017-01-02,2023-02-28,1,0.12414661629217205
ICICIBANK,606607,9500,6,9062,1511,6.0,2017-01-02,2023-02-28,0,0.1455364931666181
INFY,607671,9500,6,9128,1522,6.0,2017-01-02,2023-02-28,1,0.13942307692307687
TCS,606146,9505,6,9127,1522,6.0,2017-01-02,2023-02-28,1,0.07986969547133582
ITC,607504,9500,6,9128,1522,6.0,2017-01-02,2023-02-28,0,0.10199968997054731
LT,606952,9506,6,8337,1390,6.0,2017-07-13,2023-02-28,1,0.0764587525150906
AXISBANK,605961,9505,6,9109,1519,6.0,2017-01-02,2023-02-28,0,0.19171779141104295
KOTAKBANK,603555,9505,6,9127,1522,6.0,2017-01-02,2023-02-28,0,0.10059591933383327
BHARTIARTL,603770,9505,6,9127,1522,6.0,2017-01-02,2023-02-28,0,0.099915086328899
SBIN,609976,9506,6,9122,1521,6.0,2017-01-02,2023-02-28,0,0.18287173443331373
MARUTI,605671,9505,6,9121,1521,6.0,2017-01-02,2023-02-28,0,0.12814946514346326
HINDUNILVR,603413,9505,6,9127,1522,6.0,2017-01-02,2023-02-28,0,0.07739759036144578
ASIANPAINT,602799,9505,6,9127,1522,6.0,2017-01-02,2023-02-28,0,0.1098260519053672
BAJFINANCE,517523,8139,1,8127,1355,6.0,2017-09-01,2023-02-28,0,0.13468376068376064
