instrument,variant,sharpe,gross_sharpe,cagr,vol,max_dd,calmar,t_stat,exposure,n_trades,hit_rate,profit_factor,avg_bars,years
SP500,switch (full hypothesis),0.3470517093975857,0.38066152798677005,0.03968090311631656,0.14045435192169928,-0.3078617076079423,0.12889197368725586,1.5506760386158367,0.4798250844762473,95,0.6105263157894737,1.8441947202266245,25.410526315789475,19.96
SP500,mean-reversion leg only,0.36178735616117214,0.39468770486834076,0.041828480402068546,0.140428059597295,-0.2787529596662731,0.1500557355593504,1.61651698891533,0.4776386404293381,93,0.6236559139784946,1.8974694044408,25.838709677419356,19.96
SP500,trend leg only,-0.13724215450207197,-0.12067770555055314,-0.0008529443119411617,0.0060826578207980085,-0.021483931194765882,-0.03970150081978312,-0.6132173238500581,0.007155635062611807,2,0.0,0.0,18.0,19.96
SP500,buy & hold,0.28271112461548203,,0.036388178959755324,0.19096309219048632,-0.5677538775030555,0.06409146709801113,1.2631932214145538,1.0,1,,,,19.96
NASDAQ,switch (full hypothesis),0.10361341258330438,0.13048486683472454,0.0016269798367849475,0.19090843537104274,-0.5462972634241862,0.002978195106794153,0.46295935683774636,0.509441462929835,103,0.6407766990291263,1.1342749255382387,24.883495145631066,19.96
NASDAQ,mean-reversion leg only,0.11018616890202441,0.13604047872394692,0.0029051419378347543,0.19066565832080007,-0.556916982481552,0.005216472165904885,0.4923273600923383,0.5082488570860664,99,0.6464646464646465,1.1477420194514842,25.828282828282827,19.96
NASDAQ,trend leg only,-0.17866373009884448,-0.16369710296692824,-0.001872349353930769,0.010193083218966519,-0.0526121185287346,-0.035587796239533065,-0.7982947720237696,0.0027827469687934803,3,0.3333333333333333,0.25989952009812367,4.666666666666667,19.96
NASDAQ,buy & hold,0.34418104894780216,,0.056659976695005554,0.25305584231897904,-0.7793238629207804,0.07270401868955108,1.5378495224110662,1.0,1,,,,19.96
WTI,switch (full hypothesis),0.16061114899078763,0.17834418078065242,0.004434028303202497,0.2913282922796113,-0.8619788012465625,0.005144010846659067,0.922918134600473,0.49813724311981733,171,0.6257309941520468,1.2319136211866588,24.239766081871345,33.02
WTI,mean-reversion leg only,0.14684213441701563,0.16426421254390358,0.00041217268733140244,0.2913251963865642,-0.8768315761785763,0.0004700705341015901,0.8437973928240647,0.49777670953010456,168,0.6190476190476191,1.2109074409249128,24.654761904761905,33.02
WTI,trend leg only,0.2614304034454636,0.26552178359703393,0.0022542427567209256,0.008755934190819588,-0.005016051364366003,0.4494058359798808,1.5022547425370556,0.0007210671794255498,2,1.0,inf,3.0,33.02
WTI,buy & hold,0.2455679953918806,,0.01856570568577154,0.395725166247982,-0.8197646411121055,0.022647604879108975,1.4111047561066365,1.0,1,,,,33.02
GOOG,switch (full hypothesis),-0.4912310108767492,-0.47422616710355664,-0.13534744042980196,0.23809165503534743,-0.7899403566114316,-0.17133880969241178,-1.4341766375638294,0.49767225325884545,35,0.45714285714285713,0.5418297981784472,30.542857142857144,8.52
GOOG,mean-reversion leg only,-0.5191112330141084,-0.5035738389305696,-0.14093690744249032,0.23788405424423772,-0.8012373790844791,-0.1758990670199755,-1.5155745183045526,0.4958100558659218,32,0.40625,0.5178092309487955,33.28125,8.52
GOOG,trend leg only,0.33877072627370464,0.35508640777392686,0.0044823345224580535,0.013466398213318569,-0.013331089042248778,0.3362316843172134,0.9890602391838421,0.0037243947858473,2,1.0,inf,4.0,8.52
GOOG,buy & hold,0.8813128135295649,,0.27693526194483375,0.34397797404710456,-0.6529475997249901,0.42413091350894616,2.5730424577508586,1.0,1,,,,8.52
EURUSD,switch (full hypothesis),-3.4313149688017064,-1.542087927890208,-0.16479375498222926,0.0520843276987794,-0.14895424795669243,-1.1063380685198188,-3.119892971779535,0.5292,82,0.5121951219512195,0.4835156943951001,32.26829268292683,0.83
EURUSD,mean-reversion leg only,-3.590257360987117,-1.7486768317492984,-0.17156653246586595,0.05204685357566765,-0.15466364430546775,-1.1092880504419915,-3.2644099446618764,0.5282,80,0.5,0.45691050880810274,33.0125,0.83
EURUSD,trend leg only,1.021362549581007,1.8327779492272425,0.0034146044997498404,0.0033429599713570234,-0.001450314679672049,2.3543887044720284,0.9286649197317564,0.0024,2,1.0,inf,6.0,0.83
EURUSD,buy & hold,2.315935107990314,,0.179566264186938,0.07244186343329694,-0.04273603338079801,4.201753180668845,2.1057436382879646,1.0,1,,,,0.83
