instrument,leg,bar_share,total_pnl,sharpe_when_on,contribution_sharpe,n_trades,hit_rate,avg_pnl,avg_bars
SP500,MR,0.4726694494136355,1.0353236955382206,0.5376813155743476,0.36959024255748796,93,0.6236559139784946,0.009945003815681431,25.56989247311828
SP500,TF,0.007155635062611807,-0.0166661271076316,-1.6095156494222003,-0.13734904178844762,2,0.0,-0.008479651734140947,18.0
NASDAQ,MR,0.5066587159610415,0.4802646818072274,0.17727382369839803,0.1261917743192162,100,0.65,0.0034108103940831535,25.49
NASDAQ,TF,0.0027827469687934803,-0.03535764487255888,-3.2518590933893834,-0.17411899244089657,3,0.3333333333333333,-0.011847431598566346,4.666666666666667
WTI,MR,0.4974161759403918,1.5524326098567687,0.22892208312089773,0.16145493119592064,169,0.621301775147929,0.008324651515413804,24.49112426035503
WTI,TF,0.0007210671794255498,0.07608464246970842,11.540199873803907,0.26556910517655485,2,1.0,0.0383200318056961,3.0
GOOG,MR,0.49394785847299816,-1.0208135539921637,-0.7170601618922126,-0.5038200920911048,33,0.42424242424242425,-0.0299662863442669,32.15151515151515
GOOG,TF,0.0037243947858473,0.03938580233523886,5.636588801221629,0.34380442385986404,2,1.0,0.019599833810263978,4.0
EURUSD,MR,0.5268,-0.11157217873039649,-3.593065864298608,-2.6068003522587735,80,0.5,-0.0013932529106736064,32.925
EURUSD,TF,0.0024,0.0038227299268290835,29.961273231924437,1.4223336288863153,2,1.0,0.001911043495014919,6.0
