instrument,sharpe,n,k,sma_len,entry_frac,exit_z
SP500,0.12389403714424575,50,1.5,10,0.7,-0.5
SP500,0.015369490294378061,50,1.5,10,0.7,0.0
SP500,-0.12908860745248427,50,1.5,10,0.7,0.5
SP500,0.19552848599741093,50,1.5,10,0.9,-0.5
SP500,0.07382474105175363,50,1.5,10,0.9,0.0
SP500,-0.05881657135263309,50,1.5,10,0.9,0.5
SP500,0.23905069341278462,50,1.5,10,1.0,-0.5
SP500,0.13642155493362546,50,1.5,10,1.0,0.0
SP500,-0.01127873337400226,50,1.5,10,1.0,0.5
SP500,0.2603937344296474,50,1.5,20,0.7,-0.5
SP500,0.13548928733012502,50,1.5,20,0.7,0.0
SP500,0.02897400647010047,50,1.5,20,0.7,0.5
SP500,0.3159691131609238,50,1.5,20,0.9,-0.5
SP500,0.1930413696579446,50,1.5,20,0.9,0.0
SP500,0.07100794249235869,50,1.5,20,0.9,0.5
SP500,0.35679187229922654,50,1.5,20,1.0,-0.5
SP500,0.2565522738617903,50,1.5,20,1.0,0.0
SP500,0.13190054937342333,50,1.5,20,1.0,0.5
SP500,0.12695641750391576,50,1.5,50,0.7,-0.5
SP500,0.021800089873921583,50,1.5,50,0.7,0.0
SP500,-0.023972801706592724,50,1.5,50,0.7,0.5
SP500,0.19738135640154522,50,1.5,50,0.9,-0.5
SP500,0.11089519626819039,50,1.5,50,0.9,0.0
SP500,0.04893214783230564,50,1.5,50,0.9,0.5
SP500,0.19731707431933487,50,1.5,50,1.0,-0.5
SP500,0.1491486236440342,50,1.5,50,1.0,0.0
SP500,0.05813850848511361,50,1.5,50,1.0,0.5
SP500,0.32416762154019907,50,2.0,10,0.7,-0.5
SP500,0.19758101820473076,50,2.0,10,0.7,0.0
SP500,0.08860323314791688,50,2.0,10,0.7,0.5
SP500,0.35199434142493463,50,2.0,10,0.9,-0.5
SP500,0.34810261427945216,50,2.0,10,0.9,0.0
SP500,0.15693737070993732,50,2.0,10,0.9,0.5
SP500,0.3416948083752186,50,2.0,10,1.0,-0.5
SP500,0.29432083574357465,50,2.0,10,1.0,0.0
SP500,0.1789561275886731,50,2.0,10,1.0,0.5
SP500,0.29819792644439563,50,2.0,20,0.7,-0.5
SP500,0.16873331020698595,50,2.0,20,0.7,0.0
SP500,0.06166645345146367,50,2.0,20,0.7,0.5
SP500,0.3513288119371745,50,2.0,20,0.9,-0.5
SP500,0.32917009220832716,50,2.0,20,0.9,0.0
SP500,0.13685711482874943,50,2.0,20,0.9,0.5
SP500,0.33764376574723876,50,2.0,20,1.0,-0.5
SP500,0.27249925690771826,50,2.0,20,1.0,0.0
SP500,0.14862060281465458,50,2.0,20,1.0,0.5
SP500,0.2374455189620432,50,2.0,50,0.7,-0.5
SP500,0.15187004137238494,50,2.0,50,0.7,0.0
SP500,0.0604303909155117,50,2.0,50,0.7,0.5
SP500,0.22083195674394007,50,2.0,50,0.9,-0.5
SP500,0.23619725199672953,50,2.0,50,0.9,0.0
SP500,0.11418180991693222,50,2.0,50,0.9,0.5
SP500,0.22534735905916572,50,2.0,50,1.0,-0.5
SP500,0.2384689316982085,50,2.0,50,1.0,0.0
SP500,0.1471866304135902,50,2.0,50,1.0,0.5
SP500,0.32416339323396354,50,2.5,10,0.7,-0.5
SP500,0.31478912003545545,50,2.5,10,0.7,0.0
SP500,0.1403401303452749,50,2.5,10,0.7,0.5
SP500,0.3553549578249423,50,2.5,10,0.9,-0.5
SP500,0.3513856131698912,50,2.5,10,0.9,0.0
SP500,0.2900534694203552,50,2.5,10,0.9,0.5
SP500,0.3068766284828687,50,2.5,10,1.0,-0.5
SP500,0.33212414070107066,50,2.5,10,1.0,0.0
SP500,0.20667867738342383,50,2.5,10,1.0,0.5
SP500,0.3650355023240643,50,2.5,20,0.7,-0.5
SP500,0.36868683695419713,50,2.5,20,0.7,0.0
SP500,0.1911545249610506,50,2.5,20,0.7,0.5
SP500,0.4060986244091416,50,2.5,20,0.9,-0.5
SP500,0.4125638820547434,50,2.5,20,0.9,0.0
SP500,0.35244753897509007,50,2.5,20,0.9,0.5
SP500,0.35389013061578845,50,2.5,20,1.0,-0.5
SP500,0.37444052684064905,50,2.5,20,1.0,0.0
SP500,0.2533333500735361,50,2.5,20,1.0,0.5
SP500,0.2596235026175511,50,2.5,50,0.7,-0.5
SP500,0.2503702240282449,50,2.5,50,0.7,0.0
SP500,0.10305566517459808,50,2.5,50,0.7,0.5
SP500,0.28644205236657194,50,2.5,50,0.9,-0.5
SP500,0.3017611171522336,50,2.5,50,0.9,0.0
SP500,0.19315195612872046,50,2.5,50,0.9,0.5
SP500,0.29410442334260983,50,2.5,50,1.0,-0.5
SP500,0.33288668468364774,50,2.5,50,1.0,0.0
SP500,0.1930298083450908,50,2.5,50,1.0,0.5
SP500,0.34896776121753514,50,3.0,10,0.7,-0.5
SP500,0.2913300926491646,50,3.0,10,0.7,0.0
SP500,0.18172535770291812,50,3.0,10,0.7,0.5
SP500,0.2963136394292455,50,3.0,10,0.9,-0.5
SP500,0.2991534645164791,50,3.0,10,0.9,0.0
SP500,0.20574651326993615,50,3.0,10,0.9,0.5
SP500,0.22840532630900595,50,3.0,10,1.0,-0.5
SP500,0.22109004605147134,50,3.0,10,1.0,0.0
SP500,0.1671092414367724,50,3.0,10,1.0,0.5
SP500,0.3567164724327884,50,3.0,20,0.7,-0.5
SP500,0.3086445335865285,50,3.0,20,0.7,0.0
SP500,0.19775173237291907,50,3.0,20,0.7,0.5
SP500,0.3091166254561561,50,3.0,20,0.9,-0.5
SP500,0.3106020915307114,50,3.0,20,0.9,0.0
SP500,0.21670195123622574,50,3.0,20,0.9,0.5
SP500,0.2424200177581515,50,3.0,20,1.0,-0.5
SP500,0.23361655111715476,50,3.0,20,1.0,0.0
SP500,0.17910652814578576,50,3.0,20,1.0,0.5
SP500,0.31332044891154204,50,3.0,50,0.7,-0.5
SP500,0.3009139774763705,50,3.0,50,0.7,0.0
SP500,0.16972257123894105,50,3.0,50,0.7,0.5
SP500,0.27417730311172894,50,3.0,50,0.9,-0.5
SP500,0.3099079396622799,50,3.0,50,0.9,0.0
SP500,0.21123204574904417,50,3.0,50,0.9,0.5
SP500,0.21410041929551152,50,3.0,50,1.0,-0.5
SP500,0.2578215640839814,50,3.0,50,1.0,0.0
SP500,0.19914903974089201,50,3.0,50,1.0,0.5
SP500,-0.09600000439835478,80,1.5,10,0.7,-0.5
SP500,0.05369600379566042,80,1.5,10,0.7,0.0
SP500,0.038198208061893564,80,1.5,10,0.7,0.5
SP500,-0.05985358932940418,80,1.5,10,0.9,-0.5
SP500,0.03023748831532552,80,1.5,10,0.9,0.0
SP500,0.007535921888752964,80,1.5,10,0.9,0.5
SP500,-0.1309307148952917,80,1.5,10,1.0,-0.5
SP500,-0.06998807059305849,80,1.5,10,1.0,0.0
SP500,-0.09864235575695833,80,1.5,10,1.0,0.5
SP500,0.27198603515016306,80,1.5,20,0.7,-0.5
SP500,0.4045902426889041,80,1.5,20,0.7,0.0
SP500,0.37974563187465704,80,1.5,20,0.7,0.5
SP500,0.30021707573045714,80,1.5,20,0.9,-0.5
SP500,0.3985578985509571,80,1.5,20,0.9,0.0
SP500,0.3613299389272462,80,1.5,20,0.9,0.5
SP500,0.23302133570092007,80,1.5,20,1.0,-0.5
SP500,0.316487952947743,80,1.5,20,1.0,0.0
SP500,0.30797927021594407,80,1.5,20,1.0,0.5
SP500,0.19711750122187457,80,1.5,50,0.7,-0.5
SP500,0.27189931051947175,80,1.5,50,0.7,0.0
SP500,0.19736145675052058,80,1.5,50,0.7,0.5
SP500,0.23497571502328254,80,1.5,50,0.9,-0.5
SP500,0.2853041648920086,80,1.5,50,0.9,0.0
SP500,0.22980350594994356,80,1.5,50,0.9,0.5
SP500,0.20651677465060747,80,1.5,50,1.0,-0.5
SP500,0.2522046288572456,80,1.5,50,1.0,0.0
SP500,0.2122335481710798,80,1.5,50,1.0,0.5
SP500,0.29952543719090696,80,2.0,10,0.7,-0.5
SP500,0.37342384095531306,80,2.0,10,0.7,0.0
SP500,0.33853247883965554,80,2.0,10,0.7,0.5
SP500,0.14663516170417715,80,2.0,10,0.9,-0.5
SP500,0.2901558949644107,80,2.0,10,0.9,0.0
SP500,0.30912928080628765,80,2.0,10,0.9,0.5
SP500,0.20639084208936834,80,2.0,10,1.0,-0.5
SP500,0.3046008239651669,80,2.0,10,1.0,0.0
SP500,0.29255100868253503,80,2.0,10,1.0,0.5
SP500,0.23483856118780294,80,2.0,20,0.7,-0.5
SP500,0.31366450885110025,80,2.0,20,0.7,0.0
SP500,0.29605139573691636,80,2.0,20,0.7,0.5
SP500,0.08128837424257705,80,2.0,20,0.9,-0.5
SP500,0.2295497484386606,80,2.0,20,0.9,0.0
SP500,0.24427979242456552,80,2.0,20,0.9,0.5
SP500,0.13976385360137494,80,2.0,20,1.0,-0.5
SP500,0.24280208810096704,80,2.0,20,1.0,0.0
SP500,0.21843571941996293,80,2.0,20,1.0,0.5
SP500,0.2225511919730285,80,2.0,50,0.7,-0.5
SP500,0.29453636108728726,80,2.0,50,0.7,0.0
SP500,0.285155168842212,80,2.0,50,0.7,0.5
SP500,0.08344635538075364,80,2.0,50,0.9,-0.5
SP500,0.21048093002073312,80,2.0,50,0.9,0.0
SP500,0.26201424018656455,80,2.0,50,0.9,0.5
SP500,0.14798787966093885,80,2.0,50,1.0,-0.5
SP500,0.22721745315828046,80,2.0,50,1.0,0.0
SP500,0.2591883418981907,80,2.0,50,1.0,0.5
SP500,0.09618166633146416,80,2.5,10,0.7,-0.5
SP500,0.20241456360346247,80,2.5,10,0.7,0.0
SP500,0.22509170915907803,80,2.5,10,0.7,0.5
SP500,0.1870023134534559,80,2.5,10,0.9,-0.5
SP500,0.2659618519389364,80,2.5,10,0.9,0.0
SP500,0.3423585933170494,80,2.5,10,0.9,0.5
SP500,0.17572939769659937,80,2.5,10,1.0,-0.5
SP500,0.30480608901332895,80,2.5,10,1.0,0.0
SP500,0.3782900300609262,80,2.5,10,1.0,0.5
SP500,0.09456952108914911,80,2.5,20,0.7,-0.5
SP500,0.20090403816153216,80,2.5,20,0.7,0.0
SP500,0.22370821031566454,80,2.5,20,0.7,0.5
SP500,0.18516681458717743,80,2.5,20,0.9,-0.5
SP500,0.26423046402549266,80,2.5,20,0.9,0.0
SP500,0.34075511905937467,80,2.5,20,0.9,0.5
SP500,0.17366848279824618,80,2.5,20,1.0,-0.5
SP500,0.30282744867511846,80,2.5,20,1.0,0.0
SP500,0.3764371744410795,80,2.5,20,1.0,0.5
