instrument,cost_bps,sharpe,cagr,n_trades
SP500,0.0,0.38066152798677005,0.04460837335189427,95
SP500,1.0,0.37394441794320465,0.0436212179930322,95
SP500,2.0,0.3672247855578255,0.04263489390488884,95
SP500,5.0,0.3470517093975857,0.03968090311631656,95
SP500,10.0,0.31338840104535187,0.03477415322295463,95
SP500,15.0,0.2796836171878033,0.029888047085428582,95
SP500,20.0,0.24594942098323552,0.02502250836159514,95
SP500,30.0,0.17844115913245906,0.015352829003693724,95
NASDAQ,0.0,0.13048486683472454,0.006776817551648717,103
NASDAQ,1.0,0.1251119871656755,0.005744946229572223,103
NASDAQ,2.0,0.11973835757664851,0.0047140275798258635,103
NASDAQ,5.0,0.10361341258330438,0.0016269798367849475,103
NASDAQ,10.0,0.07672764684980568,-0.003499119263059347,103
NASDAQ,15.0,0.04983312513434844,-0.00860157720783672,103
NASDAQ,20.0,0.022935410518979814,-0.01368049110641889,103
NASDAQ,30.0,-0.030847341687436015,-0.02376807345158305,103
WTI,0.0,0.17834418078065242,0.009639626291037429,171
WTI,1.0,0.1747978494591734,0.008596565272814383,171
WTI,2.0,0.17125136796513463,0.007554475771029967,171
WTI,5.0,0.16061114899078763,0.004434028303202497,171
WTI,10.0,0.1428756283786866,-0.0007473622966572835,171
WTI,15.0,0.12513920075401672,-0.005904645869099001,171
WTI,20.0,0.10740344727633931,-0.01103792240915702,171
WTI,30.0,0.07194027993006721,-0.021232852551495762,171
GOOG,0.0,-0.47422616710355664,-0.13183842440513172,35
GOOG,1.0,-0.4776285458757964,-0.13254121205347258,35
GOOG,2.0,-0.48103023502896153,-0.13324350718744216,35
GOOG,5.0,-0.4912310108767492,-0.13534744042980196,35
GOOG,10.0,-0.5082170766777193,-0.1388441728405072,35
GOOG,15.0,-0.5251824479558909,-0.14232865812239004,35
GOOG,20.0,-0.542125215699954,-0.1458009326713562,35
GOOG,30.0,-0.5759353486682729,-0.15270899470899035,35
EURUSD,0.0,-1.542087927890208,-0.0776778637177995,82
EURUSD,1.0,-1.9257474054894521,-0.09579559558125994,82
EURUSD,2.0,-2.307312331883034,-0.11355923169388205,82
EURUSD,5.0,-3.4313149688017064,-0.16479375498222926,82
EURUSD,10.0,-5.192785207793481,-0.24371977242021403,82
EURUSD,15.0,-6.757702972339071,-0.3152222374732193,82
EURUSD,20.0,-8.094727960792019,-0.37999610622842195,82
EURUSD,30.0,-10.109809723867345,-0.49182012912363193,82
