instrument,fold,is_bars,oos_bars,is_sharpe_best,oos_sharpe_selected,oos_sharpe_median_config,selected,oos_start,oos_end
SP500,1,838.0,839,1.6201523533078848,0.06354406536079091,0.12382612551944511,n150_k2.5_sma10_e0.9_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2002-05-07,2005-09-01
SP500,2,1677.0,838,0.9320509249822945,-0.144300057409165,-0.007197671019174275,n100_k2.5_sma50_e1.0_x0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2005-09-02,2008-12-31
SP500,3,2515.0,839,0.7321796580109384,0.6064971286426377,0.16749630886877537,n150_k2.5_sma50_e0.9_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2009-01-02,2012-05-01
SP500,4,3354.0,838,0.7366982685165596,0.5584255446192786,0.5690281555635006,n150_k2.5_sma10_e0.9_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2012-05-02,2015-08-31
SP500,5,4192.0,839,0.7526315317436533,0.5739592181228256,0.25543814473729876,n150_k2.5_sma50_e0.9_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2015-09-01,2018-12-31
SP500,ALL_OOS,,4193,,0.2350279331268628,,stitched walk-forward,,
NASDAQ,1,838.0,839,0.8326989160314222,-0.5945434999347208,0.12808349766428964,n200_k1.5_sma10_e1.0_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2002-05-07,2005-09-01
NASDAQ,2,1677.0,838,0.5248119293382834,-0.08638875385491812,-0.21152115988397158,n250_k3.0_sma10_e0.7_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2005-09-02,2008-12-31
NASDAQ,3,2515.0,839,0.3497913051704894,0.19711117354680877,0.20964492291338527,n50_k2.0_sma10_e0.7_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2009-01-02,2012-05-01
NASDAQ,4,3354.0,838,0.3158889527538989,0.23086924610132692,0.5244054205681693,n50_k2.0_sma10_e0.7_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2012-05-02,2015-08-31
NASDAQ,5,4192.0,839,0.29972733142151053,0.23393896685975898,0.4000716913204331,n50_k3.0_sma20_e0.7_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2015-09-01,2018-12-31
NASDAQ,ALL_OOS,,4193,,-0.05103717534859702,,stitched walk-forward,,
WTI,1,1386.0,1387,0.8233672511495954,-0.5903795349185342,0.1767599216750699,n100_k1.5_sma10_e0.9_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,1991-06-07,1996-11-26
WTI,2,2773.0,1387,0.6951064603091636,0.5940883212900354,0.5937807785406932,n50_k2.5_sma20_e0.9_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,1996-11-27,2002-06-10
WTI,3,4160.0,1387,0.6830045156286767,-0.38157574926027205,0.253739637079337,n150_k1.5_sma10_e1.0_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2002-06-11,2007-12-24
WTI,4,5547.0,1387,0.6297121857159951,-0.0361472577733402,-0.11271211128503497,n100_k1.5_sma50_e0.9_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2007-12-26,2013-06-26
WTI,5,6934.0,1387,0.5485560864940104,-0.31321509607855424,-0.40602972962921974,n50_k2.5_sma20_e0.9_x0.0_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2013-06-27,2019-01-03
WTI,ALL_OOS,,6935,,-0.12119585292375919,,stitched walk-forward,,
GOOG,1,358.0,358,0.7478853614842645,-1.466380268991018,-0.05268625913332298,n50_k2.0_sma10_e0.7_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2006-01-20,2007-06-22
GOOG,2,716.0,358,0.8037301099344628,-0.18540320056060458,-0.6714356332196194,n200_k3.0_sma10_e1.0_x0.0_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2007-06-25,2008-11-20
GOOG,3,1074.0,358,0.5597547703431442,0.38738887198262223,-0.03450570658311429,n100_k1.5_sma10_e1.0_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2008-11-21,2010-04-27
GOOG,4,1432.0,358,0.5209922016731054,0.8692259230144347,-0.25306230973012245,n100_k1.5_sma10_e1.0_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2010-04-28,2011-09-26
GOOG,5,1790.0,358,0.5777838541714657,-0.814423762521337,-0.18196324428153027,n100_k1.5_sma10_e1.0_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2011-09-27,2013-03-01
GOOG,ALL_OOS,,1790,,-0.1926146507667677,,stitched walk-forward,,
EURUSD,1,833.0,833,1.4325453379058788,-4.869440401773973,-2.46300142104894,n50_k3.0_sma10_e1.0_x-0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2017-06-07,2017-07-25
EURUSD,2,1666.0,834,1.3229772476198134,-3.9637037506404194,-2.5780359362711165,n250_k1.5_sma10_e0.9_x0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2017-07-25,2017-09-12
EURUSD,3,2500.0,833,1.1357585310011074,1.956908568341679,-2.4040618963462643,n250_k1.5_sma50_e0.9_x0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2017-09-12,2017-10-31
EURUSD,4,3333.0,833,1.352455411610028,-0.30955523380177596,-2.6026785225201943,n250_k1.5_sma50_e0.9_x0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2017-10-31,2017-12-18
EURUSD,5,4166.0,834,1.0368203245922505,0.12188273814882003,-3.3412800677746253,n250_k1.5_sma50_e0.9_x0.5_mr1_tf1_h0_s0.0_trigsma_kt0.0_sl0.0_0.0,2017-12-18,2018-02-07
EURUSD,ALL_OOS,,4167,,-1.0105202253630352,,stitched walk-forward,,
