variant,SP500,SP500_exp,NASDAQ,NASDAQ_exp,WTI,WTI_exp,GOOG,GOOG_exp,EURUSD,EURUSD_exp,mean_sharpe,n_positive
A  as specified (SMA breaks 2s band),0.3470517093975857,0.4798250844762473,0.10361341258330438,0.509441462929835,0.16061114899078763,0.49813724311981733,-0.4912310108767492,0.49767225325884545,-3.4313149688017064,0.5292,-0.6622539417413555,3
B  mean-reversion leg only,0.36178735616117214,0.4776386404293381,0.11018616890202441,0.5082488570860664,0.14684213441701563,0.49777670953010456,-0.5191112330141084,0.4958100558659218,-3.590257360987117,0.5282,-0.6981105869042026,3
C  trend leg only (SMA trigger),-0.13724215450207197,0.007155635062611807,-0.17866373009884448,0.0027827469687934803,0.2614304034454636,0.0007210671794255498,0.33877072627370464,0.0037243947858473,1.021362549581007,0.0024,0.2611315589398518,3
"D  trend trigger = price, same band",-0.7002118154120076,0.349632279864838,-0.14146747855175254,0.3953488372093023,-0.13903402011256388,0.3745943997115731,-0.2530453357213769,0.39059590316573556,-8.561131323674285,0.3904,-1.958977994694397,0
"E  trend trigger = SMA, band 1.0s",-0.266978534498088,0.48002385211687537,-0.21771739444206287,0.5271317829457365,0.10556617961094539,0.5150823218363177,-0.15245381582099513,0.49813780260707635,-2.2897247780499415,0.534,-0.5642616686400285,1
F  MR only when channel is flat,0.279932027749575,0.20274299344066785,0.12466009779606105,0.19300337904989068,-0.0092041265391314,0.22244922485278212,-0.5475488476420711,0.19878957169459963,-2.147730318104056,0.2406,-0.45997823334792454,2
G  flat-gated MR + steep-gated trend,0.2794737688253903,0.21904193997217253,0.11475867692822903,0.20552574040946134,-0.19095240420606172,0.23242398750150223,-0.6473979418148748,0.20810055865921787,-2.560895034589105,0.2348,-0.6010025869712844,2
"H  trend only, price + steep channel",0.09216212234547977,0.016298946531504672,-0.0042383395913827004,0.012522361359570662,-0.45929072725507675,0.01237831991347194,-0.3536892770141038,0.00931098696461825,-2.5693228042025993,0.0182,-0.6588758051435366,1
I  MR with a 2-sigma stop,0.36178735616117214,0.4776386404293381,0.11018616890202441,0.5082488570860664,0.14684213441701563,0.49777670953010456,-0.5191112330141084,0.4958100558659218,-3.590257360987117,0.5282,-0.6981105869042026,3
J  MR with a 20-bar time stop,0.2612010729609596,0.3730868614589545,0.07611386576150456,0.40707612800636056,0.07201650533908116,0.42218483355365943,-0.3833135544027729,0.4073556797020484,-3.602401564313537,0.422,-0.715276734930953,3
