mr_exit,cap_sd,SP500,NASDAQ,WTI,GOOG,EURUSD,daily_mean,n_positive,trades
center,,0.37517443492232694,0.1246029795680072,0.023745281757447344,-0.48870115699015454,-3.337491911787488,0.008705384814406733,3,405
center,0.75,0.3290238449424643,0.07863128552493245,-0.22867645525325292,-0.2373842217354398,-0.8195168412776044,-0.014601386630323988,2,31
center,1.0,0.26395809584126956,0.27090487526450124,-0.09436654436249034,-0.1968647429642624,-2.3399510151133796,0.06090792094475452,2,84
center,1.25,0.5924715514718875,0.2635405830957848,-0.23438562007809982,-0.352710603200527,-3.3464919328697524,0.06722897782226138,2,165
center,1.5,0.6932434932941998,0.26379936735202214,-0.1655762895078726,-0.5353311138385463,-2.7913685925437606,0.06403386432495076,2,244
center,2.0,0.6291271468390778,0.14444624257426825,0.01098028606188315,-0.5700770779830144,-3.268595038547537,0.053619149373053704,3,344
center,2.5,0.39456709971025616,0.13883793196860672,-0.03609235467635051,-0.5104685088482032,-3.201812690308134,-0.0032889579614227005,2,385
center,3.0,0.3845043901329919,0.1531041356790288,0.016370513906382254,-0.4381716338423815,-3.1144576168479596,0.02895185146900535,3,401
inner,,0.18219114038292653,0.022320020320849395,0.1330191177359898,-0.6397108890475521,-4.361127076305301,-0.07554515265194661,3,545
inner,0.75,0.34476335507330097,-0.006740706700387925,-0.005268384937140348,-0.30084884511071436,-1.7033122937349086,0.007976354581264597,1,45
inner,1.0,0.08197128630145199,0.0649382716381842,0.03565010021981921,-0.5485188219259104,-3.0211430301495703,-0.09148979094161375,3,113
inner,1.25,0.2672674367174571,0.10052403272449331,-0.14152635912089415,-0.6999485348439024,-4.276321121598651,-0.11842085613071154,2,217
inner,1.5,0.35550072892599754,0.2111968752896553,-0.18607229072275666,-0.8996130303013931,-4.333878702200689,-0.12974692920212422,2,318
inner,2.0,0.2545190630038204,-0.024482147804533814,0.05867477832499391,-0.7595582739632804,-4.660485747265753,-0.11771164510974996,2,447
inner,2.5,0.1767370112283797,0.048326523792847256,0.08645911938355645,-0.6147959962485723,-4.315618387745329,-0.07581833546094723,3,518
inner,3.0,0.1905609071977068,0.0571793567773841,0.13737535415175578,-0.5780325772253218,-3.955577129168204,-0.048229239774618765,3,540
