instrument,class,years,R5,R0_nogate,buyhold,cagr,max_dd,beta,alpha,t_alpha,trades,exposure,hit
NIFTY50,equity_index,14.2,-0.2808320502725405,-0.12926035641764072,0.7193502298265924,-0.030400800670683847,-0.46441429449852856,0.23694357673247066,-0.0537527360799699,-2.0718274987240046,26,0.2241138710577728,0.46153846153846156
BANKNIFTY,equity_index,14.2,-0.3135162347445098,-0.2459389815459911,0.631783150060377,-0.05044176680557877,-0.6312397842320299,0.1758352696283857,-0.06722240466269006,-1.782450292213279,31,0.26932737929109685,0.5806451612903226
NIFTY500,equity_index,14.2,0.013401805525041928,0.007978468964279513,0.813247717495823,-0.001299091213781356,-0.2333543240488175,0.047665256430739655,-0.0052996015875439026,-0.284952063875043,30,0.22690482835612616,0.6333333333333333
RELIANCE,single_stock,28.4,-0.0637306091336285,0.0172100818676244,0.5885073124959366,-0.021368600950667282,-0.7078338389239944,-0.015167998629313275,-0.006735008126210012,-0.24304646722736428,55,0.21001953670108847,0.6
HDFCBANK,single_stock,30.6,0.13191200756290894,0.28364070274455117,0.728030915923929,0.00865458123553986,-0.4947139217840095,-0.01494180019247896,0.02258187952420167,0.8672801254071961,69,0.22917476357041067,0.6086956521739131
ICICIBANK,single_stock,28.5,-0.08426809878793513,-0.014231572979185649,0.6329728928640205,-0.036274742104004054,-0.7851259160295365,-0.009489546609651846,-0.014282873691722708,-0.3912762066374612,67,0.261994159365874,0.5522388059701493
INFY,single_stock,21.8,0.0778791085554134,0.17810082448111647,0.5447814812662136,0.002485500905505811,-0.4199340341692309,0.0470843472311041,0.0009175238846994671,0.04078073390810024,32,0.1553574677096598,0.625
TCS,single_stock,21.7,0.5345722284498688,0.5195002672923299,0.6167495326620279,0.052546804773418776,-0.2606015931665938,0.02712369388191029,0.05194250480046762,2.3211011185886337,39,0.1533247847591134,0.7435897435897436
ITC,single_stock,20.6,0.1816765587990903,0.48175076853041965,0.4449143747890094,0.013011603237866876,-0.2855385062384227,0.013325000944379974,0.015980037523744304,0.8009864537671918,34,0.1534605745132061,0.5882352941176471
LT,single_stock,21.8,-0.017231739700607776,-0.007622398509682401,0.7266329979647731,-0.013161598541398534,-0.6831206786955865,-0.007038944831011969,-0.0008126571548535311,-0.028717192966650363,46,0.2109375,0.6521739130434783
SBIN,single_stock,31.1,-0.3405680448981077,-0.1983080355518426,0.5209523350807531,-0.06393543109037436,-0.9223189825871423,-0.008093446165544391,-0.05205241559885931,-1.8568782536583426,53,0.22061829330608074,0.4528301886792453
BHARTIARTL,single_stock,16.8,0.06630352471155034,0.012330079739682694,0.43607941758891233,0.0001980948822823958,-0.39369402101311934,0.013105977567863263,0.006869016905634569,0.2279433420645948,35,0.2230351663913146,0.6285714285714286
KOTAKBANK,single_stock,21.7,-0.12498409387582457,0.009103619277263464,0.6696005814423865,-0.03530012423232087,-0.6449273617096898,0.04946428261768773,-0.03406186252984553,-0.9520630620420505,47,0.24422865518504946,0.5957446808510638
AXISBANK,single_stock,18.7,0.3042186041620266,0.1338722301002903,0.5356468206453604,0.03421263769799299,-0.3100251871763763,0.07133970177821604,0.02960424191033012,0.9291008587187315,39,0.21871022486211286,0.6410256410256411
HINDUNILVR,single_stock,18.8,-0.07745105820057516,0.29275613086552293,0.6114027347089711,-0.014023084402929986,-0.474481219704066,-0.05356182343256473,-4.982038420159589e-05,-0.002336899837216134,39,0.22755123600253538,0.5641025641025641
MARUTI,single_stock,22.8,0.26630201995656283,-0.08183652745786216,0.7610725734215743,0.03023389596338144,-0.35374826584257235,0.09470579278148762,0.019211318090964023,0.5837656957978319,45,0.1804419697233339,0.6666666666666666
ASIANPAINT,single_stock,22.7,-0.13877407528212551,0.055471958907446994,0.8894426818992599,-0.02406245181946065,-0.5789390842794094,0.034757515031380595,-0.024998483758835028,-0.9526165603927197,42,0.21977252843394576,0.5238095238095238
BAJFINANCE,single_stock,15.7,0.11199216579797738,-0.29889573217433163,1.0779971210242671,0.006188759452463222,-0.3769270082145465,-0.025579596159813756,0.023712585825102963,0.8198912867439496,29,0.19523326572008112,0.5862068965517241
