instrument,class,bars,ac1,ac5,vr2,vr5,vr10,vr20,lower_break_n,lower_excess,lower_t,upper_break_n,upper_excess,upper_t,base_fwd,leverage_corr,after_down_day,after_up_day,reversion_asymmetry
SP500,US index,5031,-0.0713927518393336,-0.04733641104993055,0.9286341743354471,0.8298133802772216,0.7327107697413262,0.6887487427526154,461,0.005129011434531072,3.3201613734356568,146,0.0025195217479281567,1.7014233306876034,0.0009684314873798466,-0.1488282457648864,0.0041194435695095346,-0.0006747909084398334,0.004794234477949368
NASDAQ,US index,5031,-0.03184945512465909,-0.031100318045333916,0.9681824811141634,0.8847761952759218,0.8163087081676038,0.8175825707419075,453,0.00284278085054013,1.5478272113749487,213,-0.00032215802952106546,-0.17902527182407815,0.0016032942253533427,-0.15437352675964444,0.003680276969506879,-0.0011205499712842605,0.00480082694079114
WTI,commodity,8321,-0.017267263111643817,-0.04012452357177951,0.9828084188279435,0.9203334125709183,0.8247884268660283,0.7987908692831819,689,-0.0013457292001200164,-0.6860630144934475,502,0.005866634814704706,2.186825961053893,0.0017775485752333697,-0.01332175921285413,0.004474319686318052,-0.003886709951726382,0.008361029638044434
GOOG,US stock,2148,0.005635202845161555,0.00547826846752058,1.0030362700991644,1.0065447156141514,1.0102815775894969,1.0753516729201964,158,-0.005918784200578803,-1.6204262576515251,188,-0.007905703739355043,-2.3812743161571763,0.005902421421450619,-0.08946632093983192,0.0028620822349590125,0.0050303954360957645,-0.002168313201136752
EURUSD,FX (hourly),5000,-0.01219695124951,-0.0007089804468120959,0.9859221357218088,0.9861095594990509,0.9754234360141121,0.957044336110247,321,-0.00010093272832491691,-0.42965850431121094,407,-0.00031916464853335965,-1.2713670531585772,0.0007007195751822054,0.017620945254157024,5.990713185154511e-05,0.00011726144783339232,-5.735431598184721e-05
NIFTY50,IN index,3583,-0.0054860851061993956,0.05869802088746783,0.994294861764698,0.9883481347824659,1.0090534491607845,1.0039261994155424,326,-0.0021340261889291486,-1.0795084108823507,227,-0.00016576106061436127,-0.17063468349495303,0.0023357424674564373,-0.1469724111858629,0.003784301671542526,0.004532379807066346,-0.0007480781355238197
BANKNIFTY,IN index,3583,0.039881639263904194,0.0340149511734814,1.039029076911676,1.0341332630798061,1.069149174252215,1.088729431091988,311,-0.0029377188367286453,-1.0415945334038963,254,-0.0020624805939635582,-1.2483377889996778,0.0028771851222488994,-0.11432144015218967,0.003378451105050666,0.005321053139178884,-0.001942602034128218
NIFTY500,IN index,3583,0.02440892523370898,0.0521237580380538,1.02382480593564,1.0542364191728895,1.0903234460478946,1.1215581831805839,335,-0.0011874046188399515,-0.6046343352590068,207,-0.001398495227901431,-1.3667109339013086,0.0026425764903713245,-0.17121404922720465,0.003450739069301456,0.005879957482648505,-0.002429218413347049
RELIANCE,IN stock,7166,0.030121180727757647,0.006703030610030702,1.030231181165692,1.0184695767356695,0.9903585675476034,0.9933688847758545,474,0.003710843687377697,1.1726718564111098,562,0.005971914763737775,3.23646120869856,0.004015699651065363,-0.041111619895771695,0.006323696789239324,0.005031566571070544,0.0012921302181687806
HDFCBANK,IN stock,7719,0.0068142255013335495,-0.013737409859552338,1.0068267390495484,0.96318035141322,0.8863871869872391,0.8270072325384796,517,0.0065228441878920716,2.95118122437766,553,0.0073547428615206144,3.7062818545413947,0.0047970339565781926,-0.017285878973429675,0.008460536330872263,0.004839539960224506,0.003620996370647757
