inst,group,lrc_dev,sharpe,sharpe_gross,cagr,exposure,inside_pct,trades,win_rate,avg_bars,max_bars,long_trades,short_trades,long_pnl,short_pnl,both_band_bars,bars,start,end
NIFTY,NSE 1h index,0.5,-1.630680527380856,-1.2064279743140283,-0.09810498089611272,0.16837160293278308,0.22794924704746017,345,0.5072463768115942,11.115942028985508,61,175,170,-0.4508369727205423,-0.6953879942767539,1,22777,2009-12-21,2023-02-28
NIFTY,NSE 1h index,1.0,-1.8236002818397794,-1.204462290584232,-0.13796014185741876,0.29358563463142645,0.4797383325284278,645,0.5488372093023256,10.367441860465116,61,331,314,-0.6004789584209309,-0.9677756896754645,2,22777,2009-12-21,2023-02-28
NIFTY,NSE 1h index,1.5,-1.8013311312588591,-1.0557759501744692,-0.1610204038462769,0.4085261447951881,0.7178732932344031,924,0.5638528138528138,10.07034632034632,61,474,450,-0.6207072809990852,-1.1435517692592028,2,22777,2009-12-21,2023-02-28
NIFTY,NSE 1h index,2.0,-1.7951475914006054,-0.9823485034684168,-0.1801140703982799,0.49519251876893355,0.9034113359968389,1139,0.568920105355575,9.90254609306409,61,575,564,-0.6564726489370671,-1.283528851324684,4,22777,2009-12-21,2023-02-28
NIFTY,NSE 1h index,2.5,-1.839540126754026,-1.0473573110480956,-0.1973147827305296,0.518329894191509,0.9658866400316108,1197,0.5714285714285714,9.862990810359232,61,605,592,-0.8107244565992837,-1.3638239664052274,4,22777,2009-12-21,2023-02-28
NIFTY,NSE 1h index,3.0,-1.8336054701001128,-1.0389975719370972,-0.19741603213470385,0.5206568029152215,0.9810774026430171,1205,0.5726141078838174,9.84149377593361,61,612,593,-0.7845203383090653,-1.3870414247388592,4,22777,2009-12-21,2023-02-28
BANKNIFTY,NSE 1h index,0.5,-1.2763529879943825,-0.9821452715624883,-0.11107557236429738,0.1562555694172162,0.23231153092140439,338,0.5414201183431953,10.375739644970414,51,176,162,-0.3585810133746924,-0.931432010184108,2,22444,2010-03-02,2023-02-28
BANKNIFTY,NSE 1h index,1.0,-1.2705653256536518,-0.8485466471839759,-0.14889311027898394,0.29317412225984674,0.49193548387096775,657,0.5722983257229832,10.015220700152208,51,334,323,-0.4585515350320505,-1.1864547551858236,3,22444,2010-03-02,2023-02-28
BANKNIFTY,NSE 1h index,1.5,-1.2847399799376724,-0.7787614253830657,-0.17599437718506605,0.40531990732489753,0.7326234182855106,928,0.59375,9.80280172413793,51,471,457,-0.32334801118688444,-1.5646303008799451,7,22444,2010-03-02,2023-02-28
BANKNIFTY,NSE 1h index,2.0,-1.407733720595099,-0.8684980683063827,-0.21197395700659621,0.48106398146497953,0.8985029406522902,1109,0.5996393146979261,9.735798016230838,57,571,538,-0.4790492828894291,-1.8570485297729207,6,22444,2010-03-02,2023-02-28
