inst,group,sharpe_nogate,trades_nogate,exposure_nogate,S_dev0.5,inside_dev0.5,delta_dev0.5,S_dev1.0,inside_dev1.0,delta_dev1.0,S_dev1.5,inside_dev1.5,delta_dev1.5,S_dev2.0,inside_dev2.0,delta_dev2.0,S_dev2.5,inside_dev2.5,delta_dev2.5,S_dev3.0,inside_dev3.0,delta_dev3.0
NIFTY,NSE 1h index,-1.9086982846546336,1225,0.5294814944900558,-1.630680527380856,0.22794924704746017,0.27801775727377764,-1.8236002818397794,0.4797383325284278,0.08509800281485425,-1.8013311312588591,0.7178732932344031,0.10736715339577452,-1.7951475914006054,0.9034113359968389,0.11355069325402822,-1.839540126754026,0.9658866400316108,0.06915815790060775,-1.8336054701001128,0.9810774026430171,0.07509281455452088
BANKNIFTY,NSE 1h index,-1.406132139989631,1212,0.5204509000178221,-1.2763529879943825,0.23231153092140439,0.12977915199524848,-1.2705653256536518,0.49193548387096775,0.13556681433597917,-1.2847399799376724,0.7326234182855106,0.12139216005195852,-1.407733720595099,0.8985029406522902,-0.0016015806054681114,-1.3628814842117731,0.9589199786134379,0.043250655777857805,-1.3951500763265692,0.9790144359294244,0.010982063663061759
RELIANCE,NSE 1h stock,-2.1704122658774314,637,0.5435068596128547,-1.4216946536683908,0.2632024055628641,0.7487176122090407,-1.8284880765507878,0.4968051118210863,0.3419241893266436,-2.053895602729791,0.7017477917684646,0.1165166631476402,-2.150841507964959,0.8671302386769404,0.019570757912472203,-2.0339389807518145,0.9449351625634279,0.13647328512561696,-2.093480476671405,0.9625070475474535,0.07693178920602639
HDFCBANK,NSE 1h stock,-1.3270240530181168,663,0.4895216614979795,-0.9042499918057757,0.26275725965604735,0.42277406121234107,-1.221553669908401,0.5411145569025467,0.10547038310971568,-1.2743423052607714,0.7592331547786862,0.052681747757345354,-1.118647923045097,0.8907057607367729,0.2083761299730198,-1.2216455554638155,0.9462456536039846,0.10537849755430129,-1.2583286505205153,0.9612818344140588,0.06869540249760142
ICICIBANK,NSE 1h stock,-0.16135059607422653,624,0.48134593880248044,-0.27288653398439366,0.2199857680187049,-0.11153593791016714,-0.045727948637349594,0.4727050930161635,0.11562264743687693,-0.058894179097971934,0.7050930161634644,0.1024564169762546,0.003854050560397214,0.8697773711497407,0.16520464663462375,-0.1495397429122798,0.9337196299684863,0.011810853161946716,-0.20203609981256324,0.9572023991054183,-0.04068550373833671
INFY,NSE 1h stock,-0.4998421562250444,683,0.5049802668671303,-0.5022612289565498,0.2458184551775982,-0.0024190727315053784,-0.02279729632684828,0.5055440706634091,0.4770448598981961,-0.31270967343646483,0.7503288855478294,0.18713248278857958,-0.4937045804028901,0.8884608156361586,0.006137575822154295,-0.6451977841544956,0.937793647810562,-0.14535562792945117,-0.5634124532967516,0.957150911482804,-0.0635702970717072
TCS,NSE 1h stock,-0.690508943269023,689,0.48609283969178724,-0.5869807250338054,0.22552151851155797,0.10352821823521763,-0.9548199260270631,0.46119150535613607,-0.2643109827580401,-0.788175582389966,0.7133997368915618,-0.09766663912094298,-0.7459291327408437,0.8808494643863936,-0.0554201894718207,-0.6820370647600981,0.9435256530727307,0.008471878508924946,-0.7290377710050528,0.9610035707573764,-0.038528827736029836
ITC,NSE 1h stock,-1.1929719530359049,676,0.478575455741402,-0.6270616897514145,0.2521142642360459,0.5659102632844903,-0.9883913470996275,0.5392783311407631,0.20458060593627736,-1.1301876033224318,0.7379252020296937,0.06278434971347302,-1.3232920124799936,0.8752114264236046,-0.13032005944408875,-1.2376934699220872,0.9396729937981583,-0.04472151688618231,-1.294324905350719,0.9586543882728811,-0.10135295231481423
LT,NSE 1h stock,-0.9222685170812135,615,0.4842689697717458,-0.016677039227279443,0.23349784083898828,0.905591477853934,-0.22194061156308048,0.4771745835903763,0.7003279055181331,-0.8064112208400851,0.7057371992597162,0.1158572962411284,-0.57450860271403,0.8758996504215505,0.34775991436718345,-0.8605003749183541,0.9432449105490438,0.06176814216285942,-0.8914408367236629,0.958975940777298,0.03082768035755057
AXISBANK,NSE 1h stock,-0.7870250442826275,682,0.5016926838442731,-0.3908128439052533,0.28004513823584726,0.39621220037737426,-0.4307167462927422,0.5231333458717322,0.35630829798988534,-0.496231842863689,0.7465676133157796,0.29079320141893855,-0.5594118407772449,0.8845213466240361,0.2276132035053826,-0.7782742778777603,0.9427308632687605,0.008750766404867272,-0.7407055638822619,0.9588113597893549,0.0463194804003656
KOTAKBANK,NSE 1h stock,-0.1514455924608679,703,0.46560796842698743,-0.18529547895382642,0.2726931028002255,-0.03384988649295853,0.37815358722792297,0.5363653448599888,0.5295991796887909,0.2410130112835378,0.7534298064273632,0.39245860374440567,-0.17098714342012442,0.8906220635218944,-0.019541550959256526,-0.2771620886059498,0.9433377184739711,-0.12571649614508193,-0.2406727748015853,0.9596880285660591,-0.08922718234071741
BHARTIARTL,NSE 1h stock,0.05209935615773255,760,0.48059392914199794,-0.29909395424248547,0.274128371393666,-0.351193310400218,-0.058207411008887856,0.5129217178836576,-0.11030676716662041,-0.09451173165368007,0.7349873132224415,-0.14661108781141263,-0.05114354223837215,0.8731322244149986,-0.1032428983961047,0.028268448452426872,0.9464336058641105,-0.023830907705305677,0.05815136593873413,0.9604360492434921,0.00605200978100158
SBIN,NSE 1h stock,-1.0632019530449481,641,0.4922946814508551,-0.5507412160980864,0.20813756812629206,0.5124607369468618,-1.13921979128116,0.45583536929148655,-0.07601783823621178,-0.9215095428713563,0.7037211050554407,0.1416924101735918,-0.839974821752654,0.8587671490321368,0.2232271312922941,-1.1094829451033779,0.9457808682578462,-0.046280992058429726,-1.0667855086053573,0.9595000939672994,-0.003583555560409124
MARUTI,NSE 1h stock,-1.6501906390048378,707,0.5121217816199962,-1.2429480079018058,0.249483179853411,0.40724263110303194,-1.6005359230213065,0.47932719413644054,0.04965471598353122,-1.9129619499440567,0.7365156925389964,-0.2627713109392189,-1.5006877636624432,0.8775606089081,0.1495028753423946,-1.5898168194009659,0.9471903777485435,0.06037381960387189,-1.5683293971624805,0.9591242247697801,0.08186124184235721
