inst,dir,bps,sharpe,trades
NIFTY,FADE,0.0,-0.9823485034684168,1139
NIFTY,FADE,1.0,-1.145483503549272,1139
NIFTY,FADE,2.0,-1.3083972386066411,1139
NIFTY,FADE,5.0,-1.7951475914006054,1139
NIFTY,FADE,10.0,-2.595886964811708,1139
NIFTY,BREAK,0.0,0.9823485034684168,1139
NIFTY,BREAK,1.0,0.819059173416421,1139
NIFTY,BREAK,2.0,0.6556826630053505,1139
NIFTY,BREAK,5.0,0.1657018656958719,1139
NIFTY,BREAK,10.0,-0.6464480755009364,1139
BANKNIFTY,FADE,0.0,-0.8684980683063827,1109
BANKNIFTY,FADE,1.0,-0.9765487866488717,1109
BANKNIFTY,FADE,2.0,-1.084517327184294,1109
BANKNIFTY,FADE,5.0,-1.407733720595099,1109
BANKNIFTY,FADE,10.0,-1.9429688217515972,1109
BANKNIFTY,BREAK,0.0,0.8684980683063827,1109
BANKNIFTY,BREAK,1.0,0.760384885167565,1109
BANKNIFTY,BREAK,2.0,0.6522289897183875,1109
BANKNIFTY,BREAK,5.0,0.32770276749156657,1109
BANKNIFTY,BREAK,10.0,-0.2121867763871697,1109
RELIANCE,FADE,0.0,-1.6592846348300356,569
RELIANCE,FADE,1.0,-1.7577700818920292,569
RELIANCE,FADE,2.0,-1.8561821310945248,569
RELIANCE,FADE,5.0,-2.150841507964959,569
RELIANCE,FADE,10.0,-2.639207358641776,569
RELIANCE,BREAK,0.0,1.6592846348300356,569
RELIANCE,BREAK,1.0,1.5607394748359322,569
RELIANCE,BREAK,2.0,1.4621483045931851,569
RELIANCE,BREAK,5.0,1.1662358257652647,569
RELIANCE,BREAK,10.0,0.673405234095235,569
HDFCBANK,FADE,0.0,-0.5373765463455296,613
HDFCBANK,FADE,1.0,-0.6538114976603264,613
HDFCBANK,FADE,2.0,-0.7701767870967047,613
HDFCBANK,FADE,5.0,-1.118647923045097,613
HDFCBANK,FADE,10.0,-1.6961253037659518,613
HDFCBANK,BREAK,0.0,0.5373765463455296,613
HDFCBANK,BREAK,1.0,0.4208927009105464,613
HDFCBANK,BREAK,2.0,0.3043807643587678,613
HDFCBANK,BREAK,5.0,-0.04511542340459815,613
HDFCBANK,BREAK,10.0,-0.6262327187987736,613
ICICIBANK,FADE,0.0,0.46548502993169666,554
ICICIBANK,FADE,1.0,0.37311417712896777,554
ICICIBANK,FADE,2.0,0.2807550340567286,554
ICICIBANK,FADE,5.0,0.003854050560397214,554
ICICIBANK,FADE,10.0,-0.4564266306711835,554
ICICIBANK,BREAK,0.0,-0.46548502993169666,554
ICICIBANK,BREAK,1.0,-0.5578569505170278,554
ICICIBANK,BREAK,2.0,-0.6502192900184638,554
ICICIBANK,BREAK,5.0,-0.9271423583894518,554
ICICIBANK,BREAK,10.0,-1.387497794901493,554
INFY,FADE,0.0,0.08115345409007468,630
INFY,FADE,1.0,-0.033869997051902904,630
INFY,FADE,2.0,-0.14888694861663584,630
INFY,FADE,5.0,-0.4937045804028901,630
INFY,FADE,10.0,-1.0664650858801272,630
INFY,BREAK,0.0,-0.08115345409007468,630
INFY,BREAK,1.0,-0.1961639639865912,630
INFY,BREAK,2.0,-0.3111421026178892,630
INFY,BREAK,5.0,-0.6556884968534081,630
INFY,BREAK,10.0,-1.2274867263528786,630
TCS,FADE,0.0,-0.0999199085248303,638
TCS,FADE,1.0,-0.2292206537115843,638
TCS,FADE,2.0,-0.3584991025692093,638
TCS,FADE,5.0,-0.7459291327408437,638
TCS,FADE,10.0,-1.3886793299411244,638
TCS,BREAK,0.0,0.0999199085248303,638
TCS,BREAK,1.0,-0.029375935033594595,638
TCS,BREAK,2.0,-0.15863968961016717,638
TCS,BREAK,5.0,-0.5459673040706305,638
TCS,BREAK,10.0,-1.188358015188815,638
ITC,FADE,0.0,-0.7530328269307793,604
ITC,FADE,1.0,-0.8673329004558267,604
ITC,FADE,2.0,-0.9815286674010687,604
ITC,FADE,5.0,-1.3232920124799936,604
ITC,FADE,10.0,-1.888981405582582,604
ITC,BREAK,0.0,0.7530328269307793,604
ITC,BREAK,1.0,0.638648393055665,604
ITC,BREAK,2.0,0.5241996105837353,604
ITC,BREAK,5.0,0.1806679043849331,604
ITC,BREAK,10.0,-0.39129806169487885,604
LT,FADE,0.0,-0.03923436040521633,555
LT,FADE,1.0,-0.14637676237884525,555
LT,FADE,2.0,-0.2534917078999041,555
LT,FADE,5.0,-0.57450860271403,555
LT,FADE,10.0,-1.1074724825952136,555
LT,BREAK,0.0,0.03923436040521633,555
LT,BREAK,1.0,-0.06791913765136408,555
LT,BREAK,2.0,-0.17506736216833793,555
LT,BREAK,5.0,-0.49631682192755167,555
LT,BREAK,10.0,-1.0301057812504826,555
AXISBANK,FADE,0.0,-0.08050492266624572,620
AXISBANK,FADE,1.0,-0.17632729713365747,620
AXISBANK,FADE,2.0,-0.2721405917101384,620
AXISBANK,FADE,5.0,-0.5594118407772449,620
AXISBANK,FADE,10.0,-1.0369534516095396,620
AXISBANK,BREAK,0.0,0.08050492266624572,620
AXISBANK,BREAK,1.0,-0.015315106095431439,620
AXISBANK,BREAK,2.0,-0.1111213663769203,620
AXISBANK,BREAK,5.0,-0.39834349374506395,620
AXISBANK,BREAK,10.0,-0.8757113514839914,620
KOTAKBANK,FADE,0.0,0.36581109521006094,634
KOTAKBANK,FADE,1.0,0.25841678330707923,634
KOTAKBANK,FADE,2.0,0.15102412627444445,634
KOTAKBANK,FADE,5.0,-0.17098714342012442,634
KOTAKBANK,FADE,10.0,-0.7061817759042442,634
KOTAKBANK,BREAK,0.0,-0.36581109521006094,634
KOTAKBANK,BREAK,1.0,-0.473191367449988,634
KOTAKBANK,BREAK,2.0,-0.5805419099910777,634
KOTAKBANK,BREAK,5.0,-0.9022585670237855,634
KOTAKBANK,BREAK,10.0,-1.4364037014375597,634
BHARTIARTL,FADE,0.0,0.4475795459756249,680
BHARTIARTL,FADE,1.0,0.3478173798550908,680
BHARTIARTL,FADE,2.0,0.24805238253449974,680
BHARTIARTL,FADE,5.0,-0.05114354223837215,680
BHARTIARTL,FADE,10.0,-0.5487799000125968,680
BHARTIARTL,BREAK,0.0,-0.4475795459756249,680
BHARTIARTL,BREAK,1.0,-0.5473272673058971,680
BHARTIARTL,BREAK,2.0,-0.6470489342792989,680
BHARTIARTL,BREAK,5.0,-0.9459417155109836,680
BHARTIARTL,BREAK,10.0,-1.442497824730645,680
SBIN,FADE,0.0,-0.41676121569743496,560
SBIN,FADE,1.0,-0.5014816255200327,560
SBIN,FADE,2.0,-0.5861720277888576,560
SBIN,FADE,5.0,-0.839974821752654,560
SBIN,FADE,10.0,-1.2615583540465507,560
SBIN,BREAK,0.0,0.41676121569743496,560
SBIN,BREAK,1.0,0.3320196578554447,560
SBIN,BREAK,2.0,0.24726582024196697,560
SBIN,BREAK,5.0,-0.006980655495352373,560
SBIN,BREAK,10.0,-0.4301435606807298,560
MARUTI,FADE,0.0,-0.9379709397984937,638
MARUTI,FADE,1.0,-1.0507220415748053,638
MARUTI,FADE,2.0,-1.1633872062373847,638
MARUTI,FADE,5.0,-1.5006877636624432,638
MARUTI,FADE,10.0,-2.059476871820442,638
MARUTI,BREAK,0.0,0.9379709397984937,638
MARUTI,BREAK,1.0,0.8251519242372353,638
MARUTI,BREAK,2.0,0.7122830594125606,638
MARUTI,BREAK,5.0,0.37355832862707733,638
MARUTI,BREAK,10.0,-0.19029256106267137,638
HINDUNILVR,FADE,0.0,0.5464981238080013,676
HINDUNILVR,FADE,1.0,0.39176720375234564,676
HINDUNILVR,FADE,2.0,0.2370222569864081,676
HINDUNILVR,FADE,5.0,-0.2268605629928934,676
HINDUNILVR,FADE,10.0,-0.9962330394630091,676
HINDUNILVR,BREAK,0.0,-0.5464981238080013,676
HINDUNILVR,BREAK,1.0,-0.7011713510401689,676
HINDUNILVR,BREAK,2.0,-0.8557432734837974,676
HINDUNILVR,BREAK,5.0,-1.318417192545595,676
HINDUNILVR,BREAK,10.0,-2.08350431102992,676
ASIANPAINT,FADE,0.0,-0.039546242977920226,660
ASIANPAINT,FADE,1.0,-0.16348304548457188,660
ASIANPAINT,FADE,2.0,-0.2874009930052205,660
ASIANPAINT,FADE,5.0,-0.6588112694520173,660
ASIANPAINT,FADE,10.0,-1.2753111848867267,660
ASIANPAINT,BREAK,0.0,0.039546242977920226,660
ASIANPAINT,BREAK,1.0,-0.08438633493945331,660
ASIANPAINT,BREAK,2.0,-0.20829161478261418,660
ASIANPAINT,BREAK,5.0,-0.5796134727490335,660
ASIANPAINT,BREAK,10.0,-1.1958012245977652,660
BAJFINANCE,FADE,0.0,-0.8493300987316702,547
BAJFINANCE,FADE,1.0,-0.9353060472584087,547
BAJFINANCE,FADE,2.0,-1.0212411218569561,547
BAJFINANCE,FADE,5.0,-1.278717763472099,547
BAJFINANCE,FADE,10.0,-1.7062540125065682,547
BAJFINANCE,BREAK,0.0,0.8493300987316702,547
BAJFINANCE,BREAK,1.0,0.763321635067868,547
BAJFINANCE,BREAK,2.0,0.6772890259987373,547
BAJFINANCE,BREAK,5.0,0.4191301022436835,547
BAJFINANCE,BREAK,10.0,-0.010836329188768815,547
