inst,horizon,event,subset,n,fade_excess,t
NIFTY,5,lower touch,all,3005,-0.0006059093055946405,-1.5915604634908995
NIFTY,5,lower touch,blue inside,2739,-0.0005368370973295938,-1.415524255583294
NIFTY,5,upper touch,all,2985,-0.0003561448415305807,-1.1641451975898391
NIFTY,5,upper touch,blue inside,2740,-0.0002804733495016633,-0.8925979940182479
NIFTY,10,lower touch,all,3005,-0.0005791892043414508,-0.7446615197391373
NIFTY,10,lower touch,blue inside,2739,-0.0006577494033142172,-0.859664098267755
NIFTY,10,upper touch,all,2985,-0.0007267110033651534,-1.1529781147411478
NIFTY,10,upper touch,blue inside,2740,-0.0005713834029239402,-0.8878671159672867
NIFTY,20,lower touch,all,3001,-0.000520824262244649,-0.3090237406315425
NIFTY,20,lower touch,blue inside,2735,-0.000496107168096539,-0.3198945831744195
NIFTY,20,upper touch,all,2985,-0.0006997920854631253,-0.5407865372709801
NIFTY,20,upper touch,blue inside,2740,-0.0005606532051950779,-0.41663767157346043
BANKNIFTY,5,lower touch,all,2872,-0.0008944638435319278,-1.6526182668250566
BANKNIFTY,5,lower touch,blue inside,2608,-0.0008178877799228084,-1.4754599802000852
BANKNIFTY,5,upper touch,all,2993,-0.0003756455846424234,-0.7783817650360726
BANKNIFTY,5,upper touch,blue inside,2699,-0.0003773142495666634,-0.7650729667846224
BANKNIFTY,10,lower touch,all,2872,-0.0004939800610071677,-0.44466236585016616
BANKNIFTY,10,lower touch,blue inside,2608,-0.0005298327093958327,-0.4633531707898045
BANKNIFTY,10,upper touch,all,2988,-0.0005473634481515006,-0.563674227117307
BANKNIFTY,10,upper touch,blue inside,2694,-0.0005143339393912058,-0.5113766747682117
BANKNIFTY,20,lower touch,all,2871,0.00015475344973886975,0.06329471187799204
BANKNIFTY,20,lower touch,blue inside,2607,-3.080754662047183e-05,-0.013554560137729122
BANKNIFTY,20,upper touch,all,2986,-0.0007795804942734931,-0.3946769469105344
BANKNIFTY,20,upper touch,blue inside,2692,-0.0005776818434322445,-0.2816156248928889
RELIANCE,5,lower touch,all,1430,-0.001893413858860544,-2.249938159584809
RELIANCE,5,lower touch,blue inside,1261,-0.001725980206365678,-1.9648524832062413
RELIANCE,5,upper touch,all,1625,-0.002140231948549768,-2.400703020371664
RELIANCE,5,upper touch,blue inside,1449,-0.0023587147987906023,-2.5235636995084776
RELIANCE,10,lower touch,all,1427,-0.0026886693363336,-1.5028370666864277
RELIANCE,10,lower touch,blue inside,1258,-0.0030136404085592916,-1.6189654946619638
RELIANCE,10,upper touch,all,1625,-0.002949024290970114,-1.6538817178804472
RELIANCE,10,upper touch,blue inside,1449,-0.0030711419392164263,-1.6904133115867865
RELIANCE,20,lower touch,all,1423,-0.003873062603024578,-0.9984655027349777
RELIANCE,20,lower touch,blue inside,1254,-0.004104098434631577,-0.991374777669407
RELIANCE,20,upper touch,all,1625,-0.0018558053839573252,-0.5251479785797581
RELIANCE,20,upper touch,blue inside,1449,-0.0018102160644907703,-0.5044265333885578
HDFCBANK,5,lower touch,all,1341,-0.0008344338974908092,-1.0040981837411371
HDFCBANK,5,lower touch,blue inside,1241,-0.0007650553034803527,-0.9766216496010914
HDFCBANK,5,upper touch,all,1571,-0.0011281360252263892,-1.4507878720171
HDFCBANK,5,upper touch,blue inside,1395,-0.000957938959687273,-1.202551559358817
HDFCBANK,10,lower touch,all,1341,-0.0015637840377062285,-0.9915942720807923
HDFCBANK,10,lower touch,blue inside,1241,-0.0016228630596796555,-1.0080141765617707
HDFCBANK,10,upper touch,all,1571,-0.0009297720376767127,-0.6379118386926854
HDFCBANK,10,upper touch,blue inside,1395,-0.0006158542795640525,-0.3959241106276836
HDFCBANK,20,lower touch,all,1340,-0.0010916836288021457,-0.29123906723248494
HDFCBANK,20,lower touch,blue inside,1240,-0.0004880658847733095,-0.1438448993390282
HDFCBANK,20,upper touch,all,1571,-0.0008871599838596431,-0.3220608709892442
HDFCBANK,20,upper touch,blue inside,1395,-0.0005871682442520846,-0.20150374719877315
ICICIBANK,5,lower touch,all,1301,0.00017343140839593102,0.1664681530718504
ICICIBANK,5,lower touch,blue inside,1156,0.00021138432153621693,0.19825420446003325
ICICIBANK,5,upper touch,all,1376,4.1481132417169635e-05,0.03789777397719573
ICICIBANK,5,upper touch,blue inside,1204,-0.00015998217076286929,-0.1388967646331391
