inst,group,alpha_ann,beta,alpha_t_nw,sharpe,bh_sharpe
NIFTY,NSE 1h,-0.2918311139616261,0.03237408007583957,-9.971232270987468,-2.6386689072505862,0.6732313029143556
BANKNIFTY,NSE 1h,-0.3968819471530531,0.0424813350465595,-8.64375187074389,-2.3900073206061,0.6207839378783204
RELIANCE,NSE 1h,-0.5338993572476659,-0.06445881443622131,-6.341848991711452,-2.774623987963261,1.0117128024109356
HDFCBANK,NSE 1h,-0.1655688845826117,-0.11015449860589203,-2.519082138210542,-1.0685601220155057,0.7737115812946417
ICICIBANK,NSE 1h,-0.17498912420911478,-0.05373223564249703,-2.145735928794581,-0.8535029175647459,0.7343503126789458
INFY,NSE 1h,-0.2104013057563868,-0.07176965616553986,-2.833751222516734,-1.1846150525443333,0.7966118948829953
TCS,NSE 1h,-0.2147054599834073,-0.014759562691932638,-3.117522845768946,-1.28263882165098,0.833295847558305
ITC,NSE 1h,-0.29222418962973357,-0.01711104781566049,-3.9527535328950694,-1.587288215192858,0.422872449973704
LT,NSE 1h,-0.21472188395402786,-0.07478584999260368,-2.9705507868670273,-1.1793702414554545,0.520638528208274
AXISBANK,NSE 1h,-0.19963047592751176,-0.0237098330725855,-2.456353880634171,-0.895930581243593,0.4761799374279123
KOTAKBANK,NSE 1h,-0.10619193617125781,0.028110446617238015,-1.3583986107193762,-0.5093493792044993,0.6606856036993513
BHARTIARTL,NSE 1h,-0.07596030084062176,-0.039992769078503486,-0.8784483851516676,-0.36660638465516554,0.6088297013993765
SBIN,NSE 1h,-0.3674189163637792,-0.09369693412075925,-4.256610327658868,-1.6302546980231627,0.5409480055690229
MARUTI,NSE 1h,-0.3434030842704521,-0.02548672108104248,-4.274519607267481,-1.7618660230943908,0.4315899858789886
HINDUNILVR,NSE 1h,-0.021356800181830518,-0.07447771810625446,-0.3506983718625804,-0.23637408507726115,0.8990233967505213
ASIANPAINT,NSE 1h,-0.1401275343880907,-0.006416709244875947,-1.8793963738319535,-0.7551743461443438,0.8557142893722907
BAJFINANCE,NSE 1h,-0.4106666645819868,0.010203659994211743,-3.797627385008653,-1.6442821690605114,0.8021210954731558
SP500,US daily,-0.049331922617375935,0.2675380791104539,-2.3393324428757563,-0.2727824334978443,0.28273922904460697
NASDAQ,US daily,-0.09779463141231683,0.23974680281811991,-3.27808286640912,-0.4471411777394307,0.34421526936065067
GOOG,US daily,-0.22725462891488626,0.048318657443710944,-3.4764142587407716,-0.9736625702674876,0.8815185699129492
EURUSD,US daily,-0.011769493606943928,-0.06223269280518209,-5.47669397827709,-1.1873085070271696,0.4727855877362202
NIFTY50,NSE daily,-0.07428399007159231,0.21366107722028502,-2.062477932069628,-0.4492613763861003,0.7194508128716676
BANKNIFTY,NSE daily,-0.10652027183113494,0.1135184922977965,-2.1718277914752693,-0.5850691316617267,0.631871447628595
RELIANCE,NSE daily,-0.08419505311349919,0.05824667488982546,-1.9845587904393367,-0.2968489073047363,0.5885484299860301
INFY,NSE daily,-0.04879398464458702,0.032222556286862866,-1.1517108125523263,-0.2020487003928917,0.5448310900133705
ITC,NSE daily,0.029505385786229067,-0.01672532232494309,0.7904374307386108,0.15115256496748677,0.44495729387072974
HDFCBANK,NSE daily,0.05775498528548669,-0.007953688755448553,1.4905613171781826,0.2308171504020729,0.7280781719849555
