inst,group,year,sharpe,ret
NIFTY,NSE 1h,2010,-1.9043339935891102,-0.18606039319923712
NIFTY,NSE 1h,2011,-3.399654296393978,-0.5194180562975506
NIFTY,NSE 1h,2012,-1.6454215537834704,-0.16304345459700126
NIFTY,NSE 1h,2013,-3.4678584621074435,-0.40567305873383386
NIFTY,NSE 1h,2014,-2.8365960727616155,-0.27391215846332906
NIFTY,NSE 1h,2015,-3.450762706105184,-0.37085851091033617
NIFTY,NSE 1h,2016,-3.4793947802300518,-0.3262373523896103
NIFTY,NSE 1h,2017,-2.955118508716173,-0.18177333551669872
NIFTY,NSE 1h,2018,-3.0682377571588106,-0.2631281922233656
NIFTY,NSE 1h,2019,-2.6596265829632575,-0.23701358091080924
NIFTY,NSE 1h,2020,-1.789971865061964,-0.2613033764097161
NIFTY,NSE 1h,2021,-2.049475796974325,-0.20541944308400512
NIFTY,NSE 1h,2022,-2.7706921088536247,-0.3446739749352886
NIFTY,NSE 1h,2023,-0.8756779674871836,-0.013731551137896345
BANKNIFTY,NSE 1h,2010,-3.3059627595157335,-0.34051354970577763
BANKNIFTY,NSE 1h,2011,-3.523377262860945,-0.6572957126806571
BANKNIFTY,NSE 1h,2012,-2.5328992982120866,-0.386425871064556
BANKNIFTY,NSE 1h,2013,-3.5384501395954087,-0.6430019655398022
BANKNIFTY,NSE 1h,2014,-2.240943784297575,-0.3796843797936753
BANKNIFTY,NSE 1h,2015,-2.6815091870352648,-0.4014758047844036
BANKNIFTY,NSE 1h,2016,-2.606209609043914,-0.3834142196621761
BANKNIFTY,NSE 1h,2017,-2.390680749634123,-0.21483094643757705
BANKNIFTY,NSE 1h,2018,-1.2315806383633565,-0.1304290130742765
BANKNIFTY,NSE 1h,2019,-2.1783452827000005,-0.2725500209896846
BANKNIFTY,NSE 1h,2020,-2.556198428562033,-0.7187982652656155
BANKNIFTY,NSE 1h,2021,-1.349962925860958,-0.21051846412775713
BANKNIFTY,NSE 1h,2022,-1.5226383714175986,-0.22427264074821102
BANKNIFTY,NSE 1h,2023,-2.5705376330398564,-0.04742708792438997
RELIANCE,NSE 1h,2017,-3.802005570750198,-0.5345562426616259
RELIANCE,NSE 1h,2018,-3.847609171683647,-0.6962064948819578
RELIANCE,NSE 1h,2019,-2.1504790314092546,-0.414016789503859
RELIANCE,NSE 1h,2020,-2.6834326440113414,-0.7581976500881674
RELIANCE,NSE 1h,2021,-2.161309842801088,-0.3870537809338016
RELIANCE,NSE 1h,2022,-2.914224080597512,-0.5307621764626619
RELIANCE,NSE 1h,2023,-1.504329089655946,-0.03378592717688095
HDFCBANK,NSE 1h,2017,-0.2748973416275102,-0.025119322256526376
HDFCBANK,NSE 1h,2018,-0.5875774439541349,-0.07477138763206914
HDFCBANK,NSE 1h,2019,-0.589074567224134,-0.0785265250798699
HDFCBANK,NSE 1h,2020,-0.894639669681162,-0.22133550473698094
HDFCBANK,NSE 1h,2021,-0.6274119399069377,-0.10123468935392174
HDFCBANK,NSE 1h,2022,-2.551138207130689,-0.5735984530319673
HDFCBANK,NSE 1h,2023,-2.443718694256354,-0.06131644706487795
ICICIBANK,NSE 1h,2017,-1.3550928159549722,-0.11776709505868872
ICICIBANK,NSE 1h,2018,-0.7016219549744376,-0.1523404950713161
ICICIBANK,NSE 1h,2019,-0.22854073667833769,-0.04347618695611209
ICICIBANK,NSE 1h,2020,-0.9928081479026151,-0.30102705759857123
ICICIBANK,NSE 1h,2021,-1.2711349084614847,-0.2702432867568843
ICICIBANK,NSE 1h,2022,-0.7750307353859108,-0.13790593713442062
ICICIBANK,NSE 1h,2023,-1.2930455420987554,-0.035722219091839084
INFY,NSE 1h,2017,-0.42717772027831635,-0.05722845961871867
INFY,NSE 1h,2018,-0.8367495686365911,-0.14523267691560393
INFY,NSE 1h,2019,-1.1627602348824067,-0.2355409546315686
INFY,NSE 1h,2020,-0.654338864211258,-0.1684259238007233
INFY,NSE 1h,2021,-1.3562593245517176,-0.2144953990893935
INFY,NSE 1h,2022,-2.7921778442757286,-0.5194534901324911
INFY,NSE 1h,2023,-1.392931893548473,-0.0327698125752702
TCS,NSE 1h,2017,-0.18398158881378304,-0.022427949693029293
TCS,NSE 1h,2018,-1.5615845498727088,-0.2764430279580267
TCS,NSE 1h,2019,-1.7213287252645049,-0.2719761166647742
TCS,NSE 1h,2020,-0.46118503276029965,-0.10646781679280765
TCS,NSE 1h,2021,-1.9321830568695897,-0.2656709052727003
TCS,NSE 1h,2022,-2.3734238369717073,-0.3908509346665371
TCS,NSE 1h,2023,0.5192281223595373,0.010571433352664365
ITC,NSE 1h,2017,-0.6400658726573932,-0.10922283734354066
ITC,NSE 1h,2018,-0.7984647686887453,-0.11373637893752184
ITC,NSE 1h,2019,0.4289712295106615,0.06409557724429876
ITC,NSE 1h,2020,-2.562108413468765,-0.6805802779321624
ITC,NSE 1h,2021,-3.661780371327768,-0.6905068726735049
ITC,NSE 1h,2022,-1.8130352475380447,-0.291565030649486
ITC,NSE 1h,2023,1.623545891735838,0.033461684272119666
LT,NSE 1h,2017,0.732532251060786,0.03827514562080059
LT,NSE 1h,2018,-0.9111672531451991,-0.15030114069624695
LT,NSE 1h,2019,-0.9012080370976611,-0.1674792648030039
LT,NSE 1h,2020,-1.9509682072685113,-0.4677289336145317
LT,NSE 1h,2021,-0.6654056024856244,-0.1317724645228125
LT,NSE 1h,2022,-1.5297619973649896,-0.2711507903225939
LT,NSE 1h,2023,-3.61117219983632,-0.10245878515630708
AXISBANK,NSE 1h,2017,-0.5108620797333995,-0.08162813499853556
AXISBANK,NSE 1h,2018,0.16146678516715998,0.03567353002918945
AXISBANK,NSE 1h,2019,-0.22782227292320548,-0.043300369190644776
AXISBANK,NSE 1h,2020,-1.1268888173277098,-0.376257732326735
AXISBANK,NSE 1h,2021,-0.8012808825676174,-0.17241975630790893
AXISBANK,NSE 1h,2022,-2.9329505053999854,-0.5681597210297796
AXISBANK,NSE 1h,2023,-1.1867307905408937,-0.030853405777902174
KOTAKBANK,NSE 1h,2017,0.14429241987013364,0.016499971391555488
KOTAKBANK,NSE 1h,2018,-0.22826716896884727,-0.0404875549253704
KOTAKBANK,NSE 1h,2019,-0.13355800397853623,-0.02203105768977838
KOTAKBANK,NSE 1h,2020,-1.3328247587019189,-0.41105264454840484
KOTAKBANK,NSE 1h,2021,-1.2036107890824472,-0.22573475054674144
KOTAKBANK,NSE 1h,2022,0.5289769051834897,0.09475547055154768
KOTAKBANK,NSE 1h,2023,-1.2527862213802077,-0.026184051917062374
BHARTIARTL,NSE 1h,2017,-0.9079296429108026,-0.18996420589415575
BHARTIARTL,NSE 1h,2018,-0.43381255798700064,-0.11210773681519752
BHARTIARTL,NSE 1h,2019,0.14586007669672227,0.04015068317997714
BHARTIARTL,NSE 1h,2020,-1.0367618514853407,-0.257494557662154
BHARTIARTL,NSE 1h,2021,-0.8881361818872595,-0.16785369220756896
BHARTIARTL,NSE 1h,2022,0.77123656681226,0.1252188971841816
BHARTIARTL,NSE 1h,2023,2.02190463083777,0.05174698214162091
SBIN,NSE 1h,2017,-1.4192954649901575,-0.3397721444188567
SBIN,NSE 1h,2018,-2.0288776635234127,-0.45773035443280274
SBIN,NSE 1h,2019,-2.2138025455287162,-0.5040751717768277
SBIN,NSE 1h,2020,-1.9873505659373507,-0.5443348836687645
SBIN,NSE 1h,2021,-1.3877996517626188,-0.3485826832701432
SBIN,NSE 1h,2022,-0.2750270473878833,-0.04836696368729353
SBIN,NSE 1h,2023,-3.590723239152915,-0.09220761727691668
MARUTI,NSE 1h,2017,-2.219954386479163,-0.2446042768982381
MARUTI,NSE 1h,2018,-2.1141605749359864,-0.34291293579380017
MARUTI,NSE 1h,2019,-2.722334400141088,-0.6030472932847758
MARUTI,NSE 1h,2020,-1.0760524890650498,-0.28595519547987786
MARUTI,NSE 1h,2021,-1.9419853071527324,-0.37112847065998034
MARUTI,NSE 1h,2022,-1.6013523989780802,-0.3036622361821264
MARUTI,NSE 1h,2023,2.7674738766624185,0.04486536711296743
HINDUNILVR,NSE 1h,2017,0.5124923821185351,0.06313810609562125
HINDUNILVR,NSE 1h,2018,0.8723088194781099,0.12704776964299017
HINDUNILVR,NSE 1h,2019,-0.6600838638487303,-0.0963892218562085
HINDUNILVR,NSE 1h,2020,0.012647131164602261,0.0024795871084579146
HINDUNILVR,NSE 1h,2021,0.10284886528673459,0.013922545529615398
HINDUNILVR,NSE 1h,2022,-2.151708170751888,-0.3626688414133683
HINDUNILVR,NSE 1h,2023,1.3779350278504412,0.02874519794921703
ASIANPAINT,NSE 1h,2017,0.8899272424495963,0.12006747353933166
