inst,sharpe,sortino,calmar,cagr,vol_ann,max_dd,dd_bars,ulcer,skew,kurtosis,tail_ratio,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,kelly,trades,pct_time_in
NIFTY,-2.638726833136269,-2.390962165426271,-0.2604556825891726,-0.25495001823830554,0.10925427704408892,-0.9788614158994895,22342,80.1126603661705,-1.6602732268366527,23.8902135944522,0.8219457539856779,0.4093299494902841,0.5575447570332481,0.00399619633937149,-0.012302225580842128,0.3248352351459594,-0.003215125891311261,-0.8045465283162054,1173,0.5463845106906089
BANKNIFTY,-2.3900605661770604,-2.0408482088024744,-0.3343086744578319,-0.33247370303251755,0.16346391826565912,-0.9945111462384568,21954,87.45840607934919,-2.111041647226241,39.52610531401669,0.8168776229985888,0.43655561785625496,0.5867697594501718,0.005707858920869054,-0.018565612268197883,0.3074425361476701,-0.0043226734175684,-0.7573195969795005,1164,0.5281144181072892
RELIANCE,-2.7747543591127726,-2.34553610582632,-0.4487328155054911,-0.43542948402170334,0.19880544899834046,-0.9703535577873845,10218,78.37207702267234,-2.874114808425059,49.20829681303718,0.8116294761166796,0.4002872688976361,0.5727109515260324,0.006996857793900061,-0.023428527603752136,0.2986469278922802,-0.0060035761821164955,-0.8580389024556826,557,0.5286600263108439
HDFCBANK,-1.0686103351271623,-0.8371748382913922,-0.2543081231173137,-0.18315592582606288,0.1748144086301433,-0.7202126443344952,9697,34.208367210567154,-4.3206903232631655,143.38742678856394,0.9164921019228383,0.6788144262446856,0.6666666666666666,0.005912319113843716,-0.017419544680426575,0.33940721312234284,-0.0018649688175797156,-0.31543778028031066,621,0.49121323183911286
ICICIBANK,-0.8535463031496039,-0.6844127713848279,-0.26915166199104057,-0.19172327047109328,0.2206133973251765,-0.7123243046423221,9397,45.311720446635185,-2.154536600583559,31.568189750723874,0.9763418403725311,0.7328715327871249,0.654054054054054,0.008085903790574283,-0.02085960658877849,0.38763452973864465,-0.001927678178499109,-0.23839984105996892,555,0.46884212666463354
INFY,-1.1846707140057784,-0.8968011261125308,-0.2763321135899395,-0.21676148711451582,0.19060491023108478,-0.7844238018465601,9623,46.42157980837246,-5.494285689831119,124.16539831132997,0.9250613124051762,0.6647472364593731,0.6566455696202531,0.006352035159553182,-0.018274466858569732,0.3475907236426119,-0.0021035834131250984,-0.33116684027817467,632,0.49614734072542754
TCS,-1.282699088951455,-1.0899218413784377,-0.26855028332926234,-0.20710742806298132,0.169643388181375,-0.7712053977208151,10183,48.698970972203064,-1.4558322968059285,21.34982144605263,0.8768467695019979,0.6534232237561937,0.6343402225755167,0.006262780539564104,-0.016627145113787975,0.3766600036689838,-0.0021071445801035876,-0.3364551203402454,629,0.4904153354632588
ITC,-1.5873627970425501,-1.21380687344194,-0.3106634059633776,-0.2675920562715388,0.18523338368804304,-0.8613568612683136,10195,52.735242688881456,-3.6721077234791997,69.4679445914972,0.8725045796952079,0.5511576678824207,0.646481178396072,0.0055607865698685515,-0.018450312112855898,0.3013925475002604,-0.0029275887418638235,-0.5264702583132996,611,0.47848148844202215
LT,-1.1794308758988998,-0.9393408616994429,-0.2839958519920886,-0.21637473971735643,0.19109500107763505,-0.7618940142949133,8896,47.166964241446294,-2.8041040870871385,33.31101055260625,0.9412086329577188,0.6512981260125248,0.6636851520572451,0.006392964737198686,-0.01937039784488884,0.33003786439448696,-0.002271636632090142,-0.35533382796125723,559,0.47707176639934196
AXISBANK,-0.895972709971016,-0.7816753744227269,-0.26247005081836866,-0.2050519191755531,0.2271941827897573,-0.7812393015363518,9837,41.86738428152783,-0.8649168630370656,26.87167443298006,0.8889959081100379,0.7224973079920841,0.6586921850079744,0.007851061677193764,-0.020971448786447234,0.37436906515812585,-0.001986286391736339,-0.252995897039788,627,0.4896558209516645
