inst,boot_mean_total,boot_p_total_positive,boot_ci_lo,boot_ci_hi,trade_t_stat
NIFTY,-3.774303375999804,0.0,-4.588047264567371,-2.972208389860465,-9.096174313588994
BANKNIFTY,-5.0331717942567735,0.0,-6.382700941121328,-3.7806114982479597,-7.568890821173327
RELIANCE,-3.342394665391554,0.0,-4.473525478393744,-2.2607379446918894,-5.963474856420406
HDFCBANK,-1.1551977428066922,0.00305,-2.0579882153882325,-0.32153955432606995,-2.5706956864802257
ICICIBANK,-1.0706131415980338,0.0074,-1.9658080871876176,-0.2014217344367603,-2.3670371014111375
INFY,-1.3325181272217619,0.0004,-2.2137857912001913,-0.5169410578241642,-3.072019673240372
TCS,-1.3272546744236027,0.00055,-2.2131663227974387,-0.5068510828739365,-3.0655688169250843
ITC,-1.7907940071468524,0.0,-2.721725344529804,-0.9360466213967835,-3.9566725058087253
LT,-1.273263221042,0.00035,-2.0925163061036036,-0.49050736258168537,-3.107592544516583
AXISBANK,-1.2397208244291884,0.0039,-2.238082749334489,-0.29579388272623997,-2.5098872671509636
KOTAKBANK,-0.6264474406715078,0.087,-1.5812734482764272,0.24309868798869771,-1.3435237238361004
BHARTIARTL,-0.5552814028262768,0.1799,-1.779059564398085,0.5530061692114759,-0.9203621398619487
SBIN,-2.3649988336482535,0.0,-3.500516847912654,-1.316613914811959,-4.198403758441195
MARUTI,-2.1313713383049246,0.0,-3.1795820719749472,-1.1388512969437037,-4.112773676116838
HINDUNILVR,-0.22830509909707344,0.28285,-1.0057771849699844,0.49219250395879377,-0.5901973045809374
ASIANPAINT,-0.8541092955289576,0.03445,-1.8000553981398442,0.06049787163115521,-1.791575084544016
BAJFINANCE,-2.294972794846906,5e-05,-3.6118107519924383,-1.0891595690115792,-3.5369375009231803
