inst,real_open_entry_sharpe,real_open_entry_pnl,rot_mean_sharpe,rot_sd_sharpe,rot_mean_pnl,p_real_worse_than_rot,edge_vs_rotated
NIFTY,-4.11318686965055,-6.116209295522577,-4.388906152128877,0.1503845973727671,-5.854094089059727,0.025,0.27571928247832744
BANKNIFTY,-3.9452143405541933,-8.650401778232546,-4.150703057361179,0.16931815523824115,-7.882823229978393,0.11,0.20548871680698566
RELIANCE,-4.538778107719939,-5.766280349814128,-4.288608856192108,0.24530566547777893,-4.572145966220339,0.85,-0.2501692515278311
HDFCBANK,-3.0622355632044282,-3.412531160147507,-3.7910135161926433,0.2556497969729061,-3.7710466825101197,0.0,0.728777952988215
ICICIBANK,-2.6069128323859063,-3.371672684047763,-3.6290809207377333,0.25470212845312495,-4.203326925960036,0.0,1.022168088351827
INFY,-3.1296212899071882,-3.6999700267841735,-4.057388555209806,0.24511882798143178,-4.057377137421711,0.0,0.9277672653026174
TCS,-3.4253957092636216,-3.7157227229461243,-4.24649094565908,0.24285004441308874,-3.890508100809309,0.0,0.821095236395458
ITC,-3.7560428293958905,-4.4667065361391485,-3.910665717253606,0.24944288007428994,-3.824995168712227,0.265,0.1546228878577156
LT,-3.481845154551878,-3.8871581549691503,-3.882564930779331,0.25757053620938924,-3.7477621924060234,0.05,0.40071977622745303
AXISBANK,-3.19366731360299,-4.689581247322177,-3.757880878151326,0.2574097198209656,-5.247118237639846,0.015,0.5642135645483362
KOTAKBANK,-3.047981624707472,-3.9074712313536963,-3.7576930589222735,0.22486819601229427,-3.953344332560316,0.0,0.7097114342148014
BHARTIARTL,-3.1321949253357606,-4.811044328565404,-3.946735746767638,0.2586150396415297,-4.849288538411778,0.0,0.8145408214318772
SBIN,-3.6471980284898597,-5.630187023089794,-3.7963512797618044,0.22124364743741579,-4.678977563392927,0.28,0.14915325127194468
MARUTI,-4.064207515639111,-5.225139610449974,-4.0717195167445634,0.23784931255960734,-4.476334093611423,0.485,0.0075120011054528035
HINDUNILVR,-3.2099386969632944,-3.3580213220210045,-3.9207873159517757,0.2491851914968,-3.4104777174549867,0.0,0.7108486189884813
ASIANPAINT,-3.36608056826896,-4.151113154522347,-4.078097117514572,0.25545959588943246,-4.161591039216095,0.0,0.7120165492456119
BAJFINANCE,-3.9088930360669485,-5.654303602101255,-3.8939342488023834,0.24432824741538567,-5.254973152978749,0.55,-0.014958787264565121
