inst,real_sharpe,synth_mean,synth_sd,synth_p05,synth_p95,p_synth_beats_real,real_minus_synth
NIFTY,-2.6386689072505862,-2.5754986047756523,0.23100575489024391,-2.958299845487879,-2.2059743295491314,0.6266666666666667,-0.06317030247493394
BANKNIFTY,-2.3900073206061,-2.43832524414521,0.23805541087254317,-2.790999559972571,-2.0699777384729776,0.4,0.04831792353911002
RELIANCE,-2.774623987963261,-2.3260026145959136,0.3770027829216907,-2.9804100228993615,-1.7760122148333934,0.8666666666666667,-0.4486213733673474
HDFCBANK,-1.0685601220155057,-1.4063016786513967,0.30989552166381495,-1.8904478601280874,-0.8695833856347913,0.13333333333333333,0.337741556635891
ICICIBANK,-0.8535029175647459,-1.2510637681646384,0.3446512132081236,-1.7705377459633262,-0.7116954111763474,0.12666666666666668,0.39756085059989243
INFY,-1.1846150525443333,-1.4692630557422004,0.3513623547867131,-2.0808158993961916,-0.9188706813593575,0.2,0.2846480031978671
TCS,-1.28263882165098,-1.2865727449445663,0.381568985651392,-1.9074263022325793,-0.594998200730182,0.4666666666666667,0.003933923293586217
ITC,-1.587288215192858,-1.306477464026475,0.37301380209036245,-1.8872181542322932,-0.6942101709366144,0.7266666666666667,-0.2808107511663831
LT,-1.1793702414554545,-1.2541775591481796,0.43310480740520874,-1.9613987011806613,-0.6100695130115156,0.44,0.07480731769272508
AXISBANK,-0.895930581243593,-1.3191904713306306,0.3213781040374994,-1.8290374380797862,-0.8110272080243153,0.09333333333333334,0.42325989008703757
KOTAKBANK,-0.5093493792044993,-0.8122395902260695,0.36119200084944764,-1.3777251662117944,-0.23307733259531993,0.20666666666666667,0.3028902110215702
BHARTIARTL,-0.36660638465516554,-0.24601016800107695,0.3296440034918968,-0.7961312069896732,0.3262123336434131,0.6466666666666666,-0.1205962166540886
SBIN,-1.6302546980231627,-1.5545459924860892,0.3581220452462403,-2.1501343094418925,-0.92334578522433,0.58,-0.07570870553707354
MARUTI,-1.7618660230943908,-1.6421345202328597,0.3707609963194498,-2.2406619677679895,-0.991157161917916,0.5866666666666667,-0.11973150286153111
HINDUNILVR,-0.23637408507726115,-0.36679012558826085,0.3585216800459469,-0.8841441924198747,0.24433590990585635,0.38,0.1304160405109997
ASIANPAINT,-0.7551743461443438,-0.8111765278540487,0.3568586289191092,-1.3862841110438315,-0.26779599697663076,0.44666666666666666,0.056002181709704946
BAJFINANCE,-1.6442821690605114,-1.8949843285090144,0.340856989875573,-2.4042864404190265,-1.3384258062478527,0.23333333333333334,0.25070215944850305
