inst,spec,long_only,short_only,synth_zero_drift,synth_zd_sd,drift_ann
NIFTY,-2.6386689072505862,-1.2616755249913352,-2.4709117796025977,-2.589521454594483,0.22827879105240823,0.09579795142084858
BANKNIFTY,-2.3900073206061,-1.091076467603431,-2.2861959900671307,-2.442043776966743,0.23900538738154142,0.11792019984271335
RELIANCE,-2.774623987963261,-1.3629701384706865,-2.4768032548553607,-2.2599220571986356,0.3476507689466597,0.2387594176598597
HDFCBANK,-1.0685601220155057,-0.04185139674819847,-1.2600079697972406,-1.4264993172434317,0.33851362642034094,0.1619251550916295
ICICIBANK,-0.8535029175647459,0.04922485156586025,-1.1517490739411624,-1.2011505195152965,0.35632323438634966,0.19094861644589606
INFY,-1.1846150525443333,-0.4064542388825919,-1.2031843162017093,-1.3142925727113588,0.3668060078330327,0.17847536616239956
TCS,-1.28263882165098,-0.5174480665591986,-1.2312587868529403,-1.208212123725052,0.3592949694224798,0.1694933229050982
ITC,-1.587288215192858,-0.8604027773537193,-1.2491677229520113,-1.2455147563807218,0.32106987961977235,0.07504767531759805
LT,-1.1793702414554545,-0.3360111841951589,-1.267578853233821,-1.2937228225475403,0.3629350184603879,0.10526890769742714
AXISBANK,-0.895930581243593,-0.18499209568779676,-0.9801759537066417,-1.2375839617029303,0.366557577161193,0.10502080453925494
KOTAKBANK,-0.5093493792044993,-0.10504798880367706,-0.597002208813576,-0.7110525040275184,0.39345066134514256,0.1452577252591811
BHARTIARTL,-0.36660638465516554,0.3958646375659197,-0.8581833530968561,-0.28031014307317925,0.3326671256879494,0.14586998956760572
SBIN,-1.6302546980231627,-0.7832135413901579,-1.4373336881181895,-1.6150739887505237,0.3120062296248562,0.12379085241820939
MARUTI,-1.7618660230943908,-0.7458586870711946,-1.7467405929537436,-1.6897722633263266,0.33123205796847544,0.08063579516114035
HINDUNILVR,-0.23637408507726115,0.2682672488035929,-0.4542000598528306,-0.3114112617330274,0.3686936467916046,0.18067582982512836
ASIANPAINT,-0.7551743461443438,-0.2900394001574206,-0.73478399063903,-0.692039419482655,0.3767710867560762,0.190250905530701
BAJFINANCE,-1.6442821690605114,-0.41004213761501795,-1.8172578761242455,-1.8373920138536568,0.3633685635355673,0.22559519710788145
