inst,n,total,worst1,worst5,worst10,worst25,p01,p05,p50,p95,p99,skew,kurt,loss_win_bars,gross_win,gross_loss
NIFTY,664,-2.577460902104491,0.11122887395192706,0.36140711947839127,0.5471810699592076,0.8739260731181906,-0.05196351804669437,-0.028813417901535267,0.0005816548375006303,0.008161205797541758,0.012329980769198312,-2.229821924100258,7.425827036207062,4.141829204751538,1.4450277298461889,4.022488631950679
BANKNIFTY,689,-3.344382680794685,0.12237178903298669,0.3963124483727686,0.6064321615518373,0.9114818822860099,-0.07753761769299419,-0.04380240665180354,0.0013886708040001462,0.011379616314765776,0.018379253306445915,-2.5983497810941296,10.210788004633976,3.8207264720890977,2.2124967879461934,5.556879468740878
RELIANCE,344,-2.09246635692156,0.10054739027766903,0.3971906972722573,0.6043110895266535,0.914810482263019,-0.09907645705435829,-0.050684575712256645,0.0022833013794096527,0.01236343265429706,0.018044562532840494,-2.3742998923093888,6.881957189590825,4.292709809478823,1.366212248537909,3.458678605459469
HDFCBANK,414,-1.0728079723874726,0.20768626941038154,0.5331483044358718,0.7315336558924657,0.9746331847462819,-0.10399527293494794,-0.030643882547194943,0.002862682144175981,0.011458077961657358,0.017553228282779977,-4.207798733482711,23.957621850001075,3.904826502927317,1.5483031122180566,2.6211110846055297
ICICIBANK,331,-0.8464698612677586,0.10256456734421608,0.41580171259161874,0.6444968992657295,0.9590375964876433,-0.0730977926168359,-0.045069153081914434,0.00393146990184561,0.016190171339678722,0.023734570807989717,-1.8982193154471463,4.398708630848839,3.8673473300738186,1.6612168598939454,2.5076867211617038
INFY,403,-0.37853827405378015,0.1343416574942574,0.41910663215513033,0.6460723852771025,0.9570838918907285,-0.053976653475879335,-0.031622466255732146,0.0038675520668429303,0.012727599931245205,0.020999528866524488,-2.3267947460744884,9.346432251362755,3.6394602963946032,1.807619010286243,2.186157284340023
TCS,342,-0.9370599382812644,0.15987342153789907,0.4590844606780613,0.6850892618972283,0.949828313925327,-0.06740710147486584,-0.03740572888960602,0.0029500988521017368,0.012066686574347481,0.027018603321474297,-3.613958104696543,22.27675349183454,3.996766623207301,1.4095783680933411,2.3466383063746052
ITC,394,-1.193286378630447,0.1858510430478112,0.5222063190789564,0.7039478000799135,0.9694707230841291,-0.09120556686171606,-0.03377907071403852,0.00333704881741795,0.011203972221786297,0.015639317660117103,-4.164718924973861,25.554626575273055,4.021250624202408,1.5063451767162497,2.699631555346697
LT,342,-0.5754176867326954,0.16039739939724057,0.4636270701957361,0.6691909871648116,0.9715226366416101,-0.06046887359059921,-0.029690053329207777,0.003400085403888308,0.012822549772375416,0.017601574267622447,-3.2015875784196712,15.253512869832688,3.587095855291269,1.5094495460856372,2.0848672328183326
AXISBANK,417,-0.8383734868247671,0.13184184243948752,0.4932232310743999,0.7269860546863605,0.9817352735698969,-0.08292539285040088,-0.04354334727237049,0.004518468605565928,0.014012173652518868,0.022514367691918193,-2.572433166105913,7.782372510939368,3.871707731520815,2.097079625260792,2.9354531120855585
KOTAKBANK,423,-0.24361724022393247,0.16454183951000553,0.5007446459962351,0.7157923932374198,0.9833140693473897,-0.05795187813040385,-0.030178952288873715,0.0036684429893737497,0.013858444170138425,0.01975487605883484,-2.9071120775197308,12.89933325217249,3.7328497042616657,1.9597302591968442,2.2033474994207767
BHARTIARTL,422,-0.6147313279180658,0.22323282713525242,0.5563261575100393,0.7811582332072385,0.9891010527908801,-0.09345411284616197,-0.04277531399538471,0.005705274104882927,0.016095175750333455,0.021910257339708045,-6.093028954308105,61.26877776156284,4.008067769261799,2.4745649834965655,3.0892963114146315
SBIN,310,-1.8160890353830876,0.14197873947322884,0.4106289848634214,0.610419242251021,0.9017258624443955,-0.08799598651963268,-0.05346182502203142,0.002271731943217853,0.01717876973250136,0.01973462620477077,-3.7158498710576957,25.40095001801885,3.894316854807318,1.4855531309900527,3.3016421663731403
MARUTI,369,-1.6248345854436352,0.13272871711874276,0.42507535170262895,0.6582533930971927,0.9580130484232459,-0.09003429018510274,-0.05334781393959296,0.0033243002856941785,0.01387570819484072,0.018483530092913848,-2.4310323817188513,6.88113526231945,4.558806898501555,1.595504009515498,3.2203385949591334
HINDUNILVR,381,-0.43900573396751363,0.1915865734340222,0.536823791457105,0.7504199563005521,0.9855638888865679,-0.07870747364955549,-0.029671488992498635,0.0037777341557944637,0.012378071314059092,0.016556532985895663,-3.387660084520103,15.080914281668715,4.077520491313595,1.6459924018585859,2.0849981358260994
ASIANPAINT,388,-0.6699459413672056,0.15485806708843403,0.46590349186037033,0.7129793752692322,0.9833738331200853,-0.07415045014113276,-0.03646907394382521,0.004109975661091336,0.013706123064914004,0.018987374165149413,-2.700155080432851,9.779365943202558,4.15548875376709,1.8356314594744383,2.5055774008416445
BAJFINANCE,311,-1.1463544264546146,0.17232294046215846,0.4758432835229047,0.6750780015793416,0.9463523776035881,-0.09003529451577973,-0.04739869264778842,0.0036657634062724357,0.017295114114006582,0.02721994122699127,-3.915912007262306,27.76103169851358,3.830779206076387,1.6145641584806567,2.760918584935271
