inst,pnl,bars,side
NIFTY,-0.008988626179759924,18,-1.0
NIFTY,0.0013711457901144607,4,1.0
NIFTY,0.005624825751163318,7,1.0
NIFTY,-0.013979267640918823,17,1.0
NIFTY,0.002947064999082966,8,1.0
NIFTY,0.010693670908708987,4,1.0
NIFTY,-0.029271954384255745,33,-1.0
NIFTY,0.0009408146403921272,6,-1.0
NIFTY,-0.013997187837881533,24,-1.0
NIFTY,0.001786740279258944,5,-1.0
NIFTY,0.0014672014026853079,3,-1.0
NIFTY,0.0015776549823801592,2,1.0
NIFTY,-0.003300379491840961,11,-1.0
NIFTY,0.00019265641729135,8,1.0
NIFTY,0.0036543577492655693,2,1.0
NIFTY,0.0026528512017658106,4,-1.0
NIFTY,-0.007455029226659245,20,1.0
NIFTY,-0.011691659133351361,18,-1.0
NIFTY,-0.018225803626053083,19,-1.0
NIFTY,0.0022447618758130996,6,1.0
NIFTY,0.004489353793603147,5,1.0
NIFTY,-0.004542417092079885,11,-1.0
NIFTY,0.0027022219370142105,8,1.0
NIFTY,0.006664584009529418,9,-1.0
NIFTY,-0.020185848778752128,17,1.0
NIFTY,0.003737637234145304,5,-1.0
NIFTY,-0.017559611212579502,24,1.0
NIFTY,0.0030624419275570923,9,-1.0
NIFTY,0.005452890109353717,2,1.0
NIFTY,-0.004431479000969863,15,-1.0
NIFTY,0.0031687807042015113,3,1.0
NIFTY,0.0033573335534650985,4,-1.0
NIFTY,-0.034323143183662586,23,1.0
NIFTY,0.010816589183142246,2,1.0
NIFTY,0.001743843230836791,9,1.0
NIFTY,0.0016640798795043898,10,-1.0
NIFTY,-0.021475356649352965,17,1.0
NIFTY,-0.001204011584033417,8,-1.0
NIFTY,0.007310632604815763,7,1.0
NIFTY,-0.01615342777948465,14,1.0
NIFTY,0.017541435735440012,1,-1.0
NIFTY,-0.019944529602798865,20,-1.0
NIFTY,-0.06576966362449414,47,-1.0
NIFTY,0.008148871693405115,2,-1.0
NIFTY,0.0005002099338304626,11,1.0
NIFTY,0.0004934400022968881,12,-1.0
NIFTY,0.01058683228746026,4,1.0
NIFTY,-0.04582274664171492,39,1.0
NIFTY,-0.005624355769708445,14,-1.0
NIFTY,0.004550747835420405,3,-1.0
NIFTY,-0.0006277228980969792,8,1.0
NIFTY,0.004659901313171776,1,1.0
NIFTY,-0.001521314118015578,10,1.0
NIFTY,-0.024915799536292915,26,1.0
NIFTY,-0.05588961958342156,43,-1.0
NIFTY,0.009624549622947657,3,-1.0
NIFTY,0.0005894143358753656,6,-1.0
NIFTY,0.0053968590002130765,7,1.0
NIFTY,0.007323954837136389,4,-1.0
NIFTY,-0.009172796891676209,18,1.0
NIFTY,0.01283768408929332,7,-1.0
NIFTY,0.010332443932435001,2,1.0
NIFTY,-0.010747803100216363,17,-1.0
NIFTY,-0.009373155015902985,11,1.0
NIFTY,0.012031805803428223,1,-1.0
NIFTY,0.00020505167714710552,9,-1.0
NIFTY,0.00890729263662442,2,-1.0
NIFTY,0.014442953974084634,6,1.0
NIFTY,-0.03409891609340616,35,-1.0
NIFTY,-0.007661107342709005,9,1.0
NIFTY,-0.05348187213215361,35,1.0
NIFTY,-0.022331754680106057,25,-1.0
NIFTY,-0.03452270224150924,26,1.0
NIFTY,0.0038356904113278512,4,1.0
NIFTY,-0.016222777469074665,16,1.0
NIFTY,-0.0021039326544746045,17,-1.0
NIFTY,-0.006523932432589036,17,1.0
NIFTY,0.0009191934856733763,9,1.0
NIFTY,-0.009438969313981744,18,-1.0
NIFTY,0.0015600089456671142,5,1.0
NIFTY,0.0068608092596511155,3,1.0
NIFTY,-0.012811594860081018,16,-1.0
NIFTY,-0.02905106807411979,30,-1.0
NIFTY,-0.02348587291734677,22,1.0
NIFTY,-0.009696036109865988,18,1.0
NIFTY,0.0028596340516232987,7,-1.0
NIFTY,0.00864679175521173,10,1.0
NIFTY,0.0004995429209308339,14,-1.0
NIFTY,-0.016037348104670113,23,1.0
NIFTY,0.003898689800661722,2,1.0
NIFTY,-0.004010273824521352,12,-1.0
NIFTY,-0.0169098362092904,14,1.0
NIFTY,0.008540780424456128,8,1.0
NIFTY,-0.0034048456071938374,14,-1.0
NIFTY,0.0019067314860667514,6,1.0
NIFTY,-0.003636230721672272,11,1.0
NIFTY,-0.018076660620323974,18,-1.0
NIFTY,-0.0029530352679232297,17,1.0
NIFTY,0.004935671971253486,2,1.0
NIFTY,0.0024522077927784007,6,1.0
NIFTY,0.002833817708339885,7,-1.0
NIFTY,-0.011832343477329713,21,1.0
NIFTY,0.004402124286433606,5,1.0
NIFTY,-0.015599608568874922,24,-1.0
NIFTY,0.0026027178635678458,6,1.0
NIFTY,-0.0011211511667812428,12,-1.0
NIFTY,-0.00281051068938571,13,-1.0
NIFTY,-0.015754903693558774,33,1.0
NIFTY,0.005543954588118192,3,1.0
NIFTY,-0.04043438795255162,36,-1.0
NIFTY,0.006038440056621118,5,1.0
NIFTY,0.00011637113647040262,10,1.0
NIFTY,0.003317148346685127,2,1.0
NIFTY,0.003626561161393686,3,1.0
NIFTY,0.0057491247572094015,5,-1.0
NIFTY,-0.0008931304829551481,7,1.0
NIFTY,-0.0021433166248106326,8,-1.0
NIFTY,-0.01090857749820264,21,1.0
NIFTY,-0.030359212049696577,28,-1.0
NIFTY,0.0035260697733077873,1,1.0
NIFTY,-0.0026627155484631464,12,-1.0
NIFTY,-0.0008333138734524126,12,1.0
NIFTY,0.0038348143035012204,7,-1.0
NIFTY,-0.012237908303260646,21,-1.0
NIFTY,0.0010514274101245298,5,-1.0
NIFTY,0.0009933252705415772,5,1.0
NIFTY,0.00351148439084404,2,1.0
NIFTY,0.0031304352273734065,3,1.0
NIFTY,0.003490693073666773,2,1.0
NIFTY,-0.004840355423294889,14,-1.0
NIFTY,-0.0014650442402783018,17,-1.0
NIFTY,0.0036778801146962557,2,1.0
NIFTY,0.0038399742751783145,2,1.0
NIFTY,0.00040918348215384645,9,1.0
NIFTY,0.0017256943355082731,9,-1.0
NIFTY,0.004615954714025892,3,-1.0
NIFTY,0.0039058437381230124,2,1.0
NIFTY,-0.011907047845107389,18,-1.0
NIFTY,-0.0012515613077520222,10,1.0
NIFTY,0.005831931293710613,7,1.0
NIFTY,-0.008734553900753759,13,1.0
