inst,max_hold,sharpe,trades,win
NIFTY,0,-2.3792697632041633,664,0.5286144578313253
NIFTY,3,-3.035089329068097,1175,0.3753191489361702
NIFTY,5,-2.6416089041982653,968,0.44008264462809915
NIFTY,8,-2.4349991504299506,817,0.48959608323133413
NIFTY,10,-2.2168657882023095,764,0.524869109947644
NIFTY,15,-2.4798930200878235,710,0.532394366197183
NIFTY,20,-2.3898734464338833,688,0.5305232558139535
BANKNIFTY,0,-2.0590849426931563,689,0.5631349782293179
BANKNIFTY,3,-2.953866912036258,1151,0.3779322328410078
BANKNIFTY,5,-2.297705651069044,971,0.4552008238928939
BANKNIFTY,8,-2.0973940909232183,802,0.5236907730673317
BANKNIFTY,10,-2.087326453627128,775,0.5470967741935484
BANKNIFTY,15,-2.1679286987968625,726,0.5647382920110193
BANKNIFTY,20,-2.0712774457021683,708,0.559322033898305
RELIANCE,0,-2.3878921489708,344,0.5784883720930233
RELIANCE,3,-2.9441353651807702,618,0.39967637540453077
RELIANCE,5,-2.623821467776353,493,0.45841784989858014
RELIANCE,8,-2.41834544387311,420,0.55
RELIANCE,10,-2.2636283215988273,392,0.5612244897959183
RELIANCE,15,-2.259693371177402,369,0.5772357723577236
RELIANCE,20,-2.4581400306513896,357,0.5854341736694678
HDFCBANK,0,-1.1809690573204294,414,0.6594202898550725
HDFCBANK,3,-2.1964107160049635,654,0.4525993883792049
HDFCBANK,5,-1.2189345539111516,546,0.532967032967033
HDFCBANK,8,-1.2789042320932202,467,0.6124197002141327
HDFCBANK,10,-1.3214011810930733,446,0.6278026905829597
HDFCBANK,15,-1.0868876618574042,430,0.6488372093023256
HDFCBANK,20,-1.0134041194680647,423,0.6619385342789598
ICICIBANK,0,-0.8719654488520844,331,0.6555891238670695
ICICIBANK,3,-1.9788124417926318,529,0.48015122873345933
ICICIBANK,5,-1.3445618739278677,441,0.5192743764172335
ICICIBANK,8,-1.2641143346102535,373,0.6058981233243967
ICICIBANK,10,-1.062151397875594,359,0.649025069637883
ICICIBANK,15,-1.058391157745332,338,0.6627218934911243
ICICIBANK,20,-0.9015230419899358,333,0.6576576576576577
INFY,0,-0.5041428404436432,403,0.6600496277915633
INFY,3,-1.5971050487820588,639,0.48043818466353677
INFY,5,-1.3620854521155088,528,0.5189393939393939
INFY,8,-0.948401968167406,455,0.6153846153846154
INFY,10,-0.8716312972199158,431,0.6519721577726219
INFY,15,-0.6683596810749284,411,0.6642335766423357
INFY,20,-0.6378715662539826,404,0.6584158415841584
TCS,0,-1.1749011263738014,342,0.6198830409356725
TCS,3,-1.8576152982273342,552,0.4692028985507246
TCS,5,-1.3557820895368176,469,0.5266524520255863
TCS,8,-1.335752849165447,394,0.5812182741116751
TCS,10,-1.1927174720456764,374,0.5882352941176471
TCS,15,-1.1683155469700737,355,0.6225352112676056
TCS,20,-1.3298340964091513,347,0.6167146974063401
ITC,0,-1.2637157792591789,394,0.6598984771573604
ITC,3,-2.2806161945130596,640,0.4953125
ITC,5,-1.8543985291046818,531,0.5084745762711864
ITC,8,-1.6210404730012735,458,0.6004366812227074
ITC,10,-1.3875784994412288,437,0.6498855835240275
ITC,15,-1.4040420915297231,409,0.6528117359413202
ITC,20,-1.2835242108201856,400,0.655
LT,0,-0.6899477664250173,342,0.672514619883041
LT,3,-1.4670926439464838,533,0.49530956848030017
LT,5,-1.2627320827050341,446,0.5560538116591929
LT,8,-1.1920442365244794,383,0.6214099216710183
LT,10,-1.120807790863151,368,0.6440217391304348
LT,15,-0.7765037564539577,350,0.6685714285714286
LT,20,-0.7487930476222373,346,0.6734104046242775
AXISBANK,0,-0.7304974031525865,417,0.6690647482014388
AXISBANK,3,-1.5284936362752093,660,0.49393939393939396
AXISBANK,5,-1.1254602178460256,565,0.5575221238938053
AXISBANK,8,-0.8987550906680234,475,0.6421052631578947
AXISBANK,10,-0.7976940175727937,454,0.6431718061674009
AXISBANK,15,-0.8485549405396327,430,0.6674418604651163
AXISBANK,20,-0.692393398085653,426,0.6666666666666666
KOTAKBANK,0,-0.2450815504301994,423,0.6903073286052009
KOTAKBANK,3,-1.1297864333461125,643,0.5163297045101088
KOTAKBANK,5,-0.748620037604141,541,0.5637707948243993
KOTAKBANK,8,-0.5631574668583056,468,0.6367521367521367
KOTAKBANK,10,-0.3040299986765359,445,0.6764044943820224
KOTAKBANK,15,-0.34751973915531165,433,0.6882217090069284
KOTAKBANK,20,-0.4201566784787836,428,0.6892523364485982
BHARTIARTL,0,-0.5042164248180313,422,0.6824644549763034
BHARTIARTL,3,-0.9973061549969013,657,0.528158295281583
BHARTIARTL,5,-0.4866797783133349,551,0.5716878402903811
BHARTIARTL,8,-0.6525335552436827,478,0.6317991631799164
BHARTIARTL,10,-0.5496136696119197,458,0.6572052401746725
BHARTIARTL,15,-0.512595707852443,438,0.6689497716894978
BHARTIARTL,20,-0.43592369069165177,430,0.6790697674418604
SBIN,0,-1.6152977037290694,310,0.5483870967741935
SBIN,3,-2.361614072853638,539,0.41187384044526903
SBIN,5,-1.9814955211036058,445,0.4606741573033708
SBIN,8,-1.8195591443498536,359,0.5403899721448467
SBIN,10,-1.7536196976274074,342,0.5526315789473685
SBIN,15,-1.7473099344510312,324,0.558641975308642
SBIN,20,-1.6555624072826316,317,0.5488958990536278
MARUTI,0,-1.7217277308682029,369,0.6449864498644986
MARUTI,3,-2.343528229862178,618,0.4692556634304207
MARUTI,5,-2.130823390189752,516,0.501937984496124
MARUTI,8,-1.9064640794444072,435,0.5770114942528736
MARUTI,10,-1.765629209845831,415,0.6072289156626506
MARUTI,15,-1.7738916721566147,386,0.6295336787564767
MARUTI,20,-1.81414716879043,380,0.6368421052631579
HINDUNILVR,0,-0.5597740485716594,381,0.6929133858267716
HINDUNILVR,3,-1.0477633668852546,583,0.4974271012006861
HINDUNILVR,5,-0.741886090729035,490,0.573469387755102
HINDUNILVR,8,-0.7825849497041387,426,0.6431924882629108
HINDUNILVR,10,-0.592933081049974,411,0.6763990267639902
HINDUNILVR,15,-0.6310877367473839,390,0.6794871794871795
HINDUNILVR,20,-0.4932726037914138,386,0.6917098445595855
ASIANPAINT,0,-0.7358923828324931,388,0.6932989690721649
ASIANPAINT,3,-1.3502251501156024,600,0.5183333333333333
ASIANPAINT,5,-1.006373415683715,521,0.5854126679462572
ASIANPAINT,8,-0.8097404251888012,441,0.6643990929705216
ASIANPAINT,10,-0.6205207666446525,420,0.6833333333333333
ASIANPAINT,15,-0.7888937704240202,399,0.6942355889724311
ASIANPAINT,20,-0.7204887661341595,393,0.6946564885496184
BAJFINANCE,0,-1.143147108507528,311,0.6109324758842444
BAJFINANCE,3,-2.1633684530669632,502,0.47410358565737054
BAJFINANCE,5,-1.7321203394391693,419,0.49403341288782815
BAJFINANCE,8,-1.4491166359903198,353,0.5864022662889519
BAJFINANCE,10,-1.3216361578179687,335,0.6149253731343284
BAJFINANCE,15,-1.1530177176238139,319,0.6112852664576802
BAJFINANCE,20,-1.0497732423250101,317,0.61198738170347
