pair,variant,sharpe,cagr,win_rate,avg_win,avg_loss,trades,max_bars,payoff,exp
EURUSD,both sides,-3.585379917172953,-0.1532193945486425,0.5997516556291391,0.000763243770801388,-0.002757395802615325,2416,49,0.27679877153561677,-0.0006458863895851852
EURUSD,long only,-2.6255909404034266,-0.08422385321124708,0.6016064257028112,0.0007421311698017268,-0.002773994498242022,1245,49,0.26753159397830145,-0.0006586707027683131
EURUSD,short only,-2.3341767596413567,-0.07556776234230209,0.6137820512820513,0.0007707858248029723,-0.0027644393886837623,1248,47,0.2788217487994801,-0.0005945816054058464
GBPUSD,both sides,-3.1627233838990882,-0.1551571910926416,0.6258223684210527,0.000896178494802429,-0.003243122029179922,2432,65,0.2763320302902826,-0.0006526551716547829
GBPUSD,long only,-2.1124236271564634,-0.083290325448395,0.6362903225806451,0.000890364247123325,-0.0033663238159624877,1240,65,0.2644915628441274,-0.0006578343951764345
GBPUSD,short only,-2.3116293645216417,-0.07726662118177996,0.6321568627450981,0.0008872506647211038,-0.003144659208034778,1275,62,0.2821452520050915,-0.0005958597120024321
AUDUSD,both sides,-2.438239244863548,-0.1329031396788,0.6125,0.0012580721548921463,-0.0035361882378451832,2240,62,0.35577069722362037,-0.0005997037472935688
AUDUSD,long only,-1.9438788141939025,-0.08214586734799947,0.6,0.0012409663530555152,-0.0037089717805852862,1095,40,0.33458500804761776,-0.0007390089004008055
AUDUSD,short only,-1.373712337654485,-0.05444559265087731,0.628498727735369,0.0012917158834065009,-0.0033824695939637735,1179,62,0.3818854382938572,-0.0004447499682374179
USDCAD,both sides,-3.4693098293944242,-0.1419723149021646,0.6276031033074725,0.0007625356814111731,-0.0028741415537730033,2449,59,0.2653090208483856,-0.0005917516352437753
USDCAD,long only,-2.443617640113194,-0.07461535615940632,0.636073423782921,0.0007469560703863572,-0.0029158493443121646,1253,48,0.25617100960425676,-0.0005860361635342541
USDCAD,short only,-2.3229713638012575,-0.07178688315363585,0.6357199055861527,0.0007724557665099403,-0.002868607509275841,1271,59,0.26927900174985636,-0.0005539111073600964
USDCHF,both sides,-2.738236871859191,-0.11697206071488882,0.6482122260668973,0.0008070275052745891,-0.0027706059132176115,2601,59,0.29128195440013227,-0.00045154019096545856
USDCHF,long only,-1.9048796281814089,-0.061196946049412816,0.6485260770975056,0.0008044691493146898,-0.0027654084588747364,1323,59,0.29090427735294977,-0.0004502497379174215
USDCHF,short only,-1.9078763319742162,-0.05949674229607314,0.663235294117647,0.0007875578320940436,-0.0028155268991166492,1360,49,0.27971951976062953,-0.00042583393768132226
EURJPY,both sides,-3.0558170580565984,-0.15522650916072323,0.6194955109020949,0.0009757064046977294,-0.0033566447818642793,2339,53,0.2906790763113821,-0.0006727726701377507
EURJPY,long only,-2.1644181444654236,-0.09043380025995874,0.6192434210526315,0.0010267258032133739,-0.0035588594488488337,1216,51,0.2884985535310993,-0.0007192659498333386
EURJPY,short only,-2.1010188221440402,-0.07012582558486055,0.6280068728522337,0.000913570220179692,-0.0031290389531697387,1164,53,0.29196511575998085,-0.0005902526080508093
GBPJPY,both sides,-2.885931905257749,-0.16723079593334447,0.6319045514803359,0.0012028912722672233,-0.004127401713034746,2263,67,0.2914403190918812,-0.0007591653148987246
GBPJPY,long only,-1.7728325449622642,-0.08432946782833714,0.6524338172502135,0.0012342789654236717,-0.0043294636865190105,1171,58,0.28508818985292395,-0.0006994898299142202
GBPJPY,short only,-2.307406252299731,-0.08914087575051191,0.6258741258741258,0.0011456518451423265,-0.003981455282680753,1144,67,0.28774700801636227,-0.0007725315907914832
AUDJPY,both sides,-2.496261878687432,-0.15897942351668531,0.6499556344276841,0.0012630411929318022,-0.004411452488474712,2254,64,0.2863095989884517,-0.0007232833477202561
AUDJPY,long only,-1.7554313797852845,-0.09367805367995989,0.653606411398041,0.0013133909589306061,-0.004856612628078046,1123,51,0.2704335427819301,-0.0008238587252602803
AUDJPY,short only,-1.7474236078359096,-0.0712603825788273,0.6480206540447504,0.0012155835162163582,-0.003940010344582194,1162,64,0.30852292504456885,-0.0005990790389184164
EURGBP,both sides,-2.8818410909115793,-0.13489687628250926,0.6374380480365993,0.0008160356878044894,-0.002874375847535738,2623,50,0.2839001338339569,-0.000521967121996714
EURGBP,long only,-1.7930034014235183,-0.060602725212165316,0.6536764705882353,0.0008062426415661907,-0.0027776152825410056,1360,51,0.29026433092945375,-0.0004349316836209339
EURGBP,short only,-2.210266530798157,-0.08004290105504173,0.6364974245768947,0.0008063092606264933,-0.003004746670691609,1359,46,0.26834517148858456,-0.0005790193854891377
EURCHF,both sides,-1.4252829458373542,-0.08935242869191308,0.5691579303347988,0.00048096829224789436,-0.0013067655088898373,2957,67,0.3680601370145597,-0.00028926263864472324
EURCHF,long only,-0.9347451916503015,-0.057092677137726616,0.5645569620253165,0.00047653416338197925,-0.0013826900755650228,1580,47,0.3446427885780899,-0.00033305208750127226
EURCHF,short only,-1.5508086388371667,-0.03282129032699853,0.5775510204081633,0.00048465970747583315,-0.0011702158033215387,1470,67,0.4141626750383782,-0.0002144407634120361
